domainIncludes	has_label_snail	rangeIncludes	label_snail	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
EngineSpecification	torque_Nm	QuantitativeValue	torque	torque	torque	https://auto.schema.org							"The torque (turning force) of the vehicle's engine.<br/><br/>

Typical unit code(s): NU for newton metre (N m), F17 for pound-force per foot, or F48 for pound-force per inch<br/><br/>

<ul>
<li>Note 1: You can link to information about how the given value has been determined (e.g. reference RPM) using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property.</li>
<li>Note 2: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
Vehicle	trailer_weight_kg	QuantitativeValue	trailer-weight	trailer_weight	trailerWeight	https://auto.schema.org							"The permitted weight of a trailer attached to the vehicle.<br/><br/>

Typical unit code(s): KGM for kilogram, LBR for pound
* Note 1: You can indicate additional information in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> node.
* Note 2: You may also link to a <a class=""localLink"" href=""/QualitativeValue"">QualitativeValue</a> node that provides additional information using <a class=""localLink"" href=""/valueReference"">valueReference</a>.
* Note 3: Note that you can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges."
ShippingDeliveryTime	transit_time	QuantitativeValue	transit-time	transit_time	transitTime	pending:							The typical delay the order has been sent for delivery and the goods reach the final customer. Typical properties: minValue, maxValue, unitCode (d for DAY).
OfferShippingDetails, Person, Product	weight_in_gram	QuantitativeValue	weight	weight	weight								The weight of the product or person.
Vehicle	weight_total_kg	QuantitativeValue	weight-total	weight_total	weightTotal	https://auto.schema.org							"The permitted total weight of the loaded vehicle, including passengers and cargo and the weight of the empty vehicle.<br/><br/>

Typical unit code(s): KGM for kilogram, LBR for pound<br/><br/>

<ul>
<li>Note 1: You can indicate additional information in the <a class=""localLink"" href=""/name"">name</a> of the <a class=""localLink"" href=""/QuantitativeValue"">QuantitativeValue</a> node.</li>
<li>Note 2: You may also link to a <a class=""localLink"" href=""/QualitativeValue"">QualitativeValue</a> node that provides additional information using <a class=""localLink"" href=""/valueReference"">valueReference</a>.</li>
<li>Note 3: Note that you can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
Vehicle	wheelbase	QuantitativeValue	wheelbase	wheelbase	wheelbase	https://auto.schema.org							"The distance between the centers of the front and rear wheels.<br/><br/>

Typical unit code(s): CMT for centimeters, MTR for meters, INH for inches, FOT for foot/feet"
BusinessAudience	yearly_revenue	QuantitativeValue	yearly-revenue	yearly_revenue	yearlyRevenue								The size of the business in annual revenue.
BusinessAudience	years_in_operation	QuantitativeValue	years-in-operation	years_in_operation	yearsInOperation								The age of the business.
ExercisePlan	activity_frequency	QuantitativeValue, Text	activity-frequency	activity_frequency	activityFrequency								How often one should engage in the activity.
ExercisePlan	intensity	QuantitativeValue, Text	intensity	intensity	intensity								Quantitative measure gauging the degree of force involved in the exercise, for example, heartbeats per minute. May include the velocity of the movement.
CreativeWork	material_extent	QuantitativeValue, Text	material-extent	material_extent	materialExtent	pending:							The quantity of the materials being described or an expression of the physical space they occupy.
MolecularEntity	molecular_weight	QuantitativeValue, Text	molecular-weight	molecular_weight	molecularWeight	pending:							This is the molecular weight of the entity being described, not of the parent. Units should be included in the form '&lt;Number&gt; &lt;unit&gt;', for example '12 amu' or as '&lt;QuantitativeValue&gt;.
MolecularEntity	monoisotopic_molecular_weight	QuantitativeValue, Text	monoisotopic-molecular-weight	monoisotopic_molecular_weight	monoisotopicMolecularWeight	pending:							The monoisotopic mass is the sum of the masses of the atoms in a molecule using the unbound, ground-state, rest mass of the principal (most abundant) isotope for each element instead of the isotopic average mass. Please include the units in the form '&lt;Number&gt; &lt;unit&gt;', for example '770.230488 g/mol' or as '&lt;QuantitativeValue&gt;.
Recipe	is_yielding_servings	QuantitativeValue, Text	recipe-yield	recipe_yield	recipeYield		yield						The quantity produced by the recipe (for example, number of people served, number of servings, etc).
ExercisePlan	rest_periods	QuantitativeValue, Text	rest-periods	rest_periods	restPeriods								How often one should break from the activity.
HowTo	yield	QuantitativeValue, Text	yield	yield	yield				recipeYield				The quantity that results by performing instructions. For example, a paper airplane, 10 personalized candles.
Review	review_rating_stars	Rating	review-rating	review_rating	reviewRating								The rating given in this review. Note that reviews can themselves be rated. The <code>reviewRating</code> applies to rating given by the review. The <a class="localLink" href="/aggregateRating">aggregateRating</a> property applies to the review itself, as a creative work.
FoodEstablishment, LodgingBusiness	star_rating_stars	Rating	star-rating	star_rating	starRating								An official rating for a lodging business or food establishment, e.g. from national associations or standards bodies. Use the author property to indicate the rating organization, e.g. as an Organization with name such as (e.g. HOTREC, DEHOGA, WHR, or Hotelstars).
CreativeWork	content_rating_stars	Rating, Text	content-rating	content_rating	contentRating								Official rating of a piece of content&#x2014;for example, 'MPAA PG-13'.
