domainIncludes	label_snail	rangeIncludes	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
Offer, Product	mobile_url	Text	mobile-url	mobileUrl	pending:							"The <a class=""localLink"" href=""/mobileUrl"">mobileUrl</a> property is provided for specific situations in which data consumers need to determine whether one of several provided URLs is a dedicated 'mobile site'.<br/><br/>

To discourage over-use, and reflecting intial usecases, the property is expected only on <a class=""localLink"" href=""/Product"">Product</a> and <a class=""localLink"" href=""/Offer"">Offer</a>, rather than <a class=""localLink"" href=""/Thing"">Thing</a>. The general trend in web technology is towards <a href=""https://en.wikipedia.org/wiki/Responsive_web_design"">responsive design</a> in which content can be flexibly adapted to a wide range of browsing environments. Pages and sites referenced with the long-established <a class=""localLink"" href=""/url"">url</a> property should ideally also be usable on a wide variety of devices, including mobile phones. In most cases, it would be pointless and counter productive to attempt to update all <a class=""localLink"" href=""/url"">url</a> markup to use <a class=""localLink"" href=""/mobileUrl"">mobileUrl</a> for more mobile-oriented pages. The property is intended for the case when items (primarily <a class=""localLink"" href=""/Product"">Product</a> and <a class=""localLink"" href=""/Offer"">Offer</a>) have extra URLs hosted on an additional ""mobile site"" alongside the main one. It should not be taken as an endorsement of this publication style."
MolecularEntity	molecular_formula	Text	molecular-formula	molecularFormula	pending:							The empirical formula is the simplest whole number ratio of all the atoms in a molecule.
Demand, Offer, Product	mpn	Text	mpn	mpn								The Manufacturer Part Number (MPN) of the product, or the product to which the offer refers.
Muscle	muscle_action	Text	muscle-action	muscleAction								The movement the muscle generates.
MusicComposition	music_composition_form	Text	music-composition-form	musicCompositionForm								The type of composition (e.g. overture, sonata, symphony, etc.).
MusicComposition	musical_key	Text	musical-key	musicalKey								The key, mode, or scale this composition uses.
Organization, Person	naics	Text	naics	naics								The North American Industry Classification System (NAICS) code for a particular organization or business person.
Thing	name	Text	name	name		http://www.w3.org/2000/01/rdf-schema#label	dc:title					The name of the item.
MedicalCondition	natural_progression	Text	natural-progression	naturalProgression								The expected progression of the condition if it is not treated and allowed to progress naturally.
DietarySupplement, Drug	non_proprietary_name	Text	non-proprietary-name	nonProprietaryName								The generic name of this drug or supplement.
Product	nsn	Text	nsn	nsn	pending:	identifier						Indicates the <a href="https://en.wikipedia.org/wiki/NATO_Stock_Number">NATO stock number</a> (nsn) of a <a class="localLink" href="/Product">Product</a>.
CivicStructure, LocalBusiness	opening_hours	Text	opening-hours	openingHours								"The general opening hours for a business. Opening hours can be specified as a weekly time range, starting with days, then times per day. Multiple days can be listed with commas ',' separating each day. Day or time ranges are specified using a hyphen '-'.<br/><br/>

<ul>
<li>Days are specified using the following two-letter combinations: <code>Mo</code>, <code>Tu</code>, <code>We</code>, <code>Th</code>, <code>Fr</code>, <code>Sa</code>, <code>Su</code>.</li>
<li>Times are specified using 24:00 format. For example, 3pm is specified as <code>15:00</code>, 10am as <code>10:00</code>. </li>
<li>Here is an example: <code>&lt;time itemprop=""openingHours"" datetime=&quot;Tu,Th 16:00-20:00&quot;&gt;Tuesdays and Thursdays 4-8pm&lt;/time&gt;</code>.</li>
<li>If a business is open 7 days a week, then it can be specified as <code>&lt;time itemprop=&quot;openingHours&quot; datetime=&quot;Mo-Su&quot;&gt;Monday through Sunday, all day&lt;/time&gt;</code>.</li>
</ul>"
SoftwareApplication	operating_system	Text	operating-system	operatingSystem								Operating systems supported (Windows 7, OS X 10.6, Android 1.6).
OrderItem	order_item_number	Text	order-item-number	orderItemNumber								The identifier of the order item.
Order	order_number	Text	order-number	orderNumber		identifier						The identifier of the transaction.
MediaReview	original_media_context_description	Text	original-media-context-description	originalMediaContextDescription	pending:	description						Describes, in a <a class="localLink" href="/MediaReview">MediaReview</a> when dealing with <a class="localLink" href="/DecontextualizedContent">DecontextualizedContent</a>, background information that can contribute to better interpretation of the <a class="localLink" href="/MediaObject">MediaObject</a>.
Drug	overdosage	Text	overdosage	overdosage								Any information related to overdose on a drug, including signs or symptoms, treatments, contact information for emergency response.
Article, Chapter, PublicationIssue, PublicationVolume	pagination	Text	pagination	pagination			http://purl.org/ontology/bibo/pages					Any description of pages that is not separated into pageStart and pageEnd; for example, "1-6, 9, 55" or "10-12, 46-49".
FlightReservation	passenger_sequence_number	Text	passenger-sequence-number	passengerSequenceNumber								The passenger's sequence number as assigned by the airline.
MedicalCondition, PhysicalActivity	pathophysiology	Text	pathophysiology	pathophysiology								Changes in the normal mechanical, physical, and biochemical functions that are associated with this activity or condition.
LocalBusiness	payment_accepted	Text	payment-accepted	paymentAccepted								Cash, Credit Card, Cryptocurrency, Local Exchange Tradings System, etc.
Invoice, Order	payment_method_id	Text	payment-method-id	paymentMethodId								An identifier for the method of payment used (e.g. the last 4 digits of the credit card).
SoftwareApplication	permissions	Text	permissions	permissions								Permission(s) required to run the app (for example, a mobile app may require full internet access or may run only on wifi).
Accommodation	permitted_usage	Text	permitted-usage	permittedUsage								Indications regarding the permitted usage of the accommodation.
PronounceableText	phonetic_text	Text	phonetic-text	phoneticText	pending:							Representation of a text <a class="localLink" href="/textValue">textValue</a> using the specified <a class="localLink" href="/speechToTextMarkup">speechToTextMarkup</a>. For example the city name of Houston in IPA: /?hju?st?n/.
Diet	physiological_benefits	Text	physiological-benefits	physiologicalBenefits								Specific physiologic benefits associated to the plan.
MediaObject	player_type	Text	player-type	playerType								Player type required&#x2014;for example, Flash or Silverlight.
GeoShape	polygon	Text	polygon	polygon								A polygon is the area enclosed by a point-to-point path for which the starting and ending points are the same. A polygon is expressed as a series of four or more space delimited points where the first and final points are identical.
MedicalCondition	possible_complication	Text	possible-complication	possibleComplication								A possible unexpected and unfavorable evolution of a medical condition. Complications may include worsening of the signs or symptoms of the disease, extension of the condition to other organ systems, etc.
PostalAddress	post_office_box_number	Text	post-office-box-number	postOfficeBoxNumber								The post office box number for PO box addresses.
MedicalDevice	post_op	Text	post-op	postOp								A description of the postoperative procedures, care, and/or followups for this device.
DefinedRegion, GeoCoordinates, GeoShape, PostalAddress	postal_code	Text	postal-code	postalCode								The postal code. For example, 94043.
PostalCodeRangeSpecification	postal_code_begin	Text	postal-code-begin	postalCodeBegin	pending:							First postal code in a range (included).
PostalCodeRangeSpecification	postal_code_end	Text	postal-code-end	postalCodeEnd	pending:							Last postal code in the range (included). Needs to be after <a class="localLink" href="/postalCodeBegin">postalCodeBegin</a>.
DefinedRegion	postal_code_prefix	Text	postal-code-prefix	postalCodePrefix	pending:							A defined range of postal codes indicated by a common textual prefix. Used for non-numeric systems such as UK.
MedicalDevice	pre_op	Text	pre-op	preOp								A description of the workup, testing, and other preparations required before implanting this device.
Drug	pregnancy_warning	Text	pregnancy-warning	pregnancyWarning								Any precaution, guidance, contraindication, etc. related to this drug's use during pregnancy.
Offer, PriceSpecification, Reservation, Ticket, TradeAction	price_currency	Text	price-currency	priceCurrency								"The currency of the price, or a price component when attached to <a class=""localLink"" href=""/PriceSpecification"">PriceSpecification</a> and its subtypes.<br/><br/>

Use standard formats: <a href=""http://en.wikipedia.org/wiki/ISO_4217"">ISO 4217 currency format</a>, e.g. ""USD""; <a href=""https://en.wikipedia.org/wiki/List_of_cryptocurrencies"">Ticker symbol</a> for cryptocurrencies, e.g. ""BTC""; well known names for <a href=""https://en.wikipedia.org/wiki/Local_exchange_trading_system"">Local Exchange Trading Systems</a> (LETS) and other currency types, e.g. ""Ithaca HOUR""."
LocalBusiness	price_range	Text	price-range	priceRange								The price range of the business, for example <code>$$$</code>.
NewsArticle	print_column	Text	print-column	printColumn								The number of the column in which the NewsArticle appears in the print edition.
NewsArticle	print_edition	Text	print-edition	printEdition								The edition of the print product in which the NewsArticle appears.
NewsArticle	print_page	Text	print-page	printPage								If this NewsArticle appears in print, this field indicates the name of the page on which the article is found. Please note that this field is intended for the exact page name (e.g. A5, B18).
NewsArticle	print_section	Text	print-section	printSection								If this NewsArticle appears in print, this field indicates the print section in which the article appeared.
MedicalDevice	procedure	Text	procedure	procedure								A description of the procedure involved in setting up, using, and/or installing the device.
SoftwareApplication	processor_requirements	Text	processor-requirements	processorRequirements								Processor architecture required to run the application (e.g. IA64).
ProductGroup	product_group_id	Text	product-group-id	productGroupID	pending:							Indicates a textual identifier for a ProductGroup.
Product	product_id	Text	product-id	productID		identifier						The product identifier, such as ISBN. For example: <code>meta itemprop="productID" content="isbn:123-456-789"</code>.
TechArticle	proficiency_level	Text	proficiency-level	proficiencyLevel								Proficiency needed for this content; expected values: 'Beginner', 'Expert'.
ProgramMembership	program_name	Text	program-name	programName								The program providing the membership.
APIReference	programming_model	Text	programming-model	programmingModel								Indicates whether API is managed or unmanaged.
DietarySupplement, Drug	proprietary_name	Text	proprietary-name	proprietaryName								Proprietary name given to the diet plan, typically by its originator or creator.
Service	provider_mobility	Text	provider-mobility	providerMobility								Indicates the mobility of a provided service (e.g. 'static', 'dynamic').
MedicalScholarlyArticle	publication_type	Text	publication-type	publicationType								The type of the medical article, taken from the US NLM MeSH publication type catalog. See also <a href="http://www.nlm.nih.gov/mesh/pubtypes.html">MeSH documentation</a>.
SearchAction	query	Text	query	query		instrument						A sub property of instrument. The query used on this action.
Rating	rating_explanation	Text	rating-explanation	ratingExplanation	pending:							A short explanation (e.g. one to two sentences) providing background context and other information that led to the conclusion expressed in the rating. This is particularly applicable to ratings associated with "fact check" markup using <a class="localLink" href="/ClaimReview">ClaimReview</a>.
Recipe	recipe_category	Text	recipe-category	recipeCategory								The category of the recipeï¿½for example, appetizer, entree, etc.
Recipe	recipe_cuisine	Text	recipe-cuisine	recipeCuisine								The cuisine of the recipe (for example, French or Ethiopian).
Recipe	recipe_ingredient	Text	recipe-ingredient	recipeIngredient		supply				ingredients		A single ingredient used in the recipe, e.g. sugar, flour or garlic.
MedicalGuidelineRecommendation	recommendation_strength	Text	recommendation-strength	recommendationStrength								Strength of the guideline's recommendation (e.g. 'class I').
Report	report_number	Text	report-number	reportNumber								The number or other unique designator assigned to a Report by the publishing organization.
PeopleAudience	required_gender	Text	required-gender	requiredGender								Audiences defined by a person's gender.
Reservation	reservation_id	Text	reservation-id	reservationId								A unique identifier for the reservation.
JobPosting, Occupation	responsibilities	Text	responsibilities	responsibilities								Responsibilities associated with this role or Occupation.
Guide, Rating, Review	review_aspect	Text	review-aspect	reviewAspect								This Review or Rating is relevant to this part or facet of the itemReviewed.
Review	review_body	Text	review-body	reviewBody								The actual body of the review.
Diet	risks	Text	risks	risks								Specific physiologic risks associated to the diet plan.
SoftwareSourceCode	runtime	Text	runtime	runtime							runtimePlatform	Runtime platform or script interpreter dependencies (example: Java v1, Python 2.3, .NET Framework 3.0).
SoftwareSourceCode	runtime_platform	Text	runtime-platform	runtimePlatform						runtime		Runtime platform or script interpreter dependencies (example: Java v1, Python 2.3, .NET Framework 3.0).
Drug	rxcui	Text	rxcui	rxcui	pending:							The RxCUI drug identifier from RXNORM.
DietarySupplement	safety_consideration	Text	safety-consideration	safetyConsideration								Any potential safety concern associated with the supplement. May include interactions with other drugs and foods, pregnancy, breastfeeding, known adverse reactions, and documented efficacy of the supplement.
EmployeeRole, JobPosting	salary_currency	Text	salary-currency	salaryCurrency								The currency (coded using <a href="http://en.wikipedia.org/wiki/ISO_4217">ISO 4217</a>) used for the main salary information in this job posting or for this employee.
SoftwareSourceCode	sample_type	Text	sample-type	sampleType							codeSampleType	What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template.
Schedule	schedule_timezone	Text	schedule-timezone	scheduleTimezone	pending:							Indicates the timezone for which the time(s) indicated in the <a class="localLink" href="/Schedule">Schedule</a> are given. The value provided should be among those listed in the IANA Time Zone Database.
Seat	seat_number	Text	seat-number	seatNumber								The location of the reserved seat (e.g., 27).
Seat	seat_row	Text	seat-row	seatRow								The row location of the reserved seat (e.g., B).
Seat	seat_section	Text	seat-section	seatSection								The section location of the reserved seat (e.g. Orchestra).
FlightReservation	security_screening	Text	security-screening	securityScreening								The type of security screening the passenger is subject to.
Demand, IndividualProduct, Offer	serial_number	Text	serial-number	serialNumber		identifier		vehicleIdentificationNumber				The serial number or any alphanumeric identifier of a particular product. When attached to an offer, it is a shortcut for the serial number of the product included in the offer.
FoodEstablishment	serves_cuisine	Text	serves-cuisine	servesCuisine								The cuisine of the restaurant.
NutritionInformation	serving_size	Text	serving-size	servingSize								The serving size, in terms of the number of volume or mass.
MediaObject	sha256	Text	sha256	sha256	pending:	description						The <a href="https://en.wikipedia.org/wiki/SHA-2">SHA-2</a> SHA256 hash of the content of the item. For example, a zero-length input has value 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'
OfferShippingDetails, ShippingRateSettings	shipping_label	Text	shipping-label	shippingLabel	pending:							Label to match an <a class="localLink" href="/OfferShippingDetails">OfferShippingDetails</a> with a <a class="localLink" href="/ShippingRateSettings">ShippingRateSettings</a> (within the context of a <a class="localLink" href="/shippingSettingsLink">shippingSettingsLink</a> cross-reference).
SuperficialAnatomy	significance	Text	significance	significance								The significance associated with the superficial anatomy; as an example, how characteristics of the superficial anatomy can suggest underlying medical conditions or courses of treatment.
Demand, Offer, Product	sku	Text	sku	sku		identifier						The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.
Brand, Organization, Place, Product, Service	slogan	Text	slogan	slogan								A slogan or motto associated with the item.
MolecularEntity	smiles	Text	smiles	smiles	pending:	hasRepresentation						A specification in form of a line notation for describing the structure of chemical species using short ASCII strings.  Double bond stereochemistry \ indicators may need to be escaped in the string in formats where the backslash is an escape character.
SoftwareApplication	software_version	Text	software-version	softwareVersion								Version of the software instance.
JobPosting	special_commitments	Text	special-commitments	specialCommitments								Any special commitments associated with this job posting. Valid entries include VeteranCommit, MilitarySpouseCommit, etc.
PronounceableText	speech_to_text_markup	Text	speech-to-text-markup	speechToTextMarkup	pending:							Form of markup used. eg. <a href="https://www.w3.org/TR/speech-synthesis11">SSML</a> or <a href="https://www.wikidata.org/wiki/Property:P898">IPA</a>.
PostalAddress	street_address	Text	street-address	streetAddress								The street address. For example, 1600 Amphitheatre Pkwy.
DrugStrength	strength_unit	Text	strength-unit	strengthUnit								The units of an active ingredient's strength, e.g. mg.
Joint	structural_class	Text	structural-class	structuralClass								The name given to how bone physically connects to each other.
MedicalConditionStage	sub_stage_suffix	Text	sub-stage-suffix	subStageSuffix								The substage, e.g. 'a' for Stage IIIa.
AlignmentObject	target_description	Text	target-description	targetDescription								The description of a node in an established educational framework.
AlignmentObject	target_name	Text	target-name	targetName								The name of a node in an established educational framework.
APIReference	target_platform	Text	target-platform	targetPlatform								Type of app development: phone, Metro style, desktop, XBox, etc.
DietarySupplement, DoseSchedule	target_population	Text	target-population	targetPopulation								Characteristics of the population for which this is intended, or which typically uses it, e.g. 'adults'.
Organization, Person	tax_id	Text	tax-id	taxID		identifier						The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.
ContactPoint, Organization, Person, Place	telephone	Text	telephone	telephone								The telephone number.
DefinedTerm	term_code	Text	term-code	termCode	pending:			codeValue				A code that identifies this <a class="localLink" href="/DefinedTerm">DefinedTerm</a> within a <a class="localLink" href="/DefinedTermSet">DefinedTermSet</a>
CreativeWork	text	Text	text	text								The textual content of this CreativeWork.
PronounceableText	text_value	Text	text-value	textValue	pending:							Text value being annotated.
Corporation	ticker_symbol	Text	ticker-symbol	tickerSymbol								The exchange traded instrument associated with a Corporation object. The tickerSymbol is expressed as an exchange and an instrument name separated by a space character. For the exchange component of the tickerSymbol attribute, we recommend using the controlled vocabulary of Market Identifier Codes (MIC) specified in ISO 15022.
Ticket	ticket_number	Text	ticket-number	ticketNumber								The unique identifier for the ticket.
EducationalOccupationalProgram	time_of_day	Text	time-of-day	timeOfDay	pending:							The time of day the program normally runs. For example, "evenings".
PathologyTest	tissue_sample	Text	tissue-sample	tissueSample								The type of tissue sample required for the test.
JobPosting	title	Text	title	title								The title of the job.
ParcelDelivery	tracking_number	Text	tracking-number	trackingNumber								Shipper tracking number.
TrainTrip	train_name	Text	train-name	trainName								The name of the train (e.g. The Orient Express).
TrainTrip	train_number	Text	train-number	trainNumber								The unique identifier for the train.
AudioObject, VideoObject	transcript	Text	transcript	transcript								If this MediaObject is an AudioObject or VideoObject, the transcript of that object.
DeliveryTimeSettings, OfferShippingDetails	transit_time_label	Text	transit-time-label	transitTimeLabel	pending:							Label to match an <a class="localLink" href="/OfferShippingDetails">OfferShippingDetails</a> with a <a class="localLink" href="/DeliveryTimeSettings">DeliveryTimeSettings</a> (within the context of a <a class="localLink" href="/shippingSettingsLink">shippingSettingsLink</a> cross-reference).
InfectiousDisease	transmission_method	Text	transmission-method	transmissionMethod								How the disease spreads, either as a route or vector, for example 'direct contact', 'Aedes aegypti', etc.
CreativeWork, Event	typical_age_range	Text	typical-age-range	typicalAgeRange								The typical expected age range, e.g. '7-9', '11-'.
PropertyValue, QuantitativeValue, TypeAndQuantityNode, UnitPriceSpecification	unit_text	Text	unit-text	unitText								"A string or text indicating the unit of measurement. Useful if you cannot provide a standard unit code for
<a href='unitCode'>unitCode</a>."
EntryPoint	url_template	Text	url-template	urlTemplate								An url template (RFC6570) that will be used to construct the target of the execution of the action.
HyperTocEntry	utterances	Text	utterances	utterances	pending:							Text of an utterances (spoken words, lyrics etc.) that occurs at a certain section of a media object, represented as a <a class="localLink" href="/HyperTocEntry">HyperTocEntry</a>.
PropertyValueSpecification	value_name	Text	value-name	valueName								Indicates the name of the PropertyValueSpecification to be used in URL templates and form encoding in a manner analogous to HTML's input@name.
PropertyValueSpecification	value_pattern	Text	value-pattern	valuePattern								Specifies a regular expression for testing literal values according to the HTML spec.
ComicIssue	variant_cover	Text	variant-cover	variantCover	https://bib.schema.org							"A description of the variant cover
        for the issue, if the issue is a variant printing. For example, ""Bryan Hitch
        Variant Cover"" or ""2nd Printing Variant""."
Organization, Person	vat_id	Text	vat-id	vatID								The Value-added Tax ID of the organization or person.
Vehicle	vehicle_configuration	Text	vehicle-configuration	vehicleConfiguration								A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.
Vehicle	vehicle_identification_number	Text	vehicle-identification-number	vehicleIdentificationNumber		serialNumber						The Vehicle Identification Number (VIN) is a unique serial number used by the automotive industry to identify individual motor vehicles.
Vehicle	vehicle_interior_color	Text	vehicle-interior-color	vehicleInteriorColor								The color or color combination of the interior of the vehicle.
Vehicle	vehicle_interior_type	Text	vehicle-interior-type	vehicleInteriorType								The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.). While most interior types are characterized by the material used, an interior type can also be based on vehicle usage or target audience.
BroadcastEvent, BroadcastService, ScreeningEvent	video_format	Text	video-format	videoFormat								The type of screening or video broadcast used (e.g. IMAX, 3D, SD, HD, etc.).
VideoObject	video_frame_size	Text	video-frame-size	videoFrameSize								The frame size of the video.
VideoObject	video_quality	Text	video-quality	videoQuality								The quality of the video.
JobPosting	work_hours	Text	work-hours	workHours								The typical working hours for this job (e.g. 1st shift, night shift, 8am-5pm).
ChooseAction	action_option	Text, Thing	action-option	actionOption		object				option		A sub property of object. The options subject to this action.
PropertyValueSpecification	default_value	Text, Thing	default-value	defaultValue								The default value of the input.  For properties that expect a literal, the default is a literal value, for properties that expect an object, it's an ID reference to one of the current values.
ChooseAction	option	Text, Thing	option	option		object					actionOption	A sub property of object. The options subject to this action.
LoanOrCredit	required_collateral	Text, Thing	required-collateral	requiredCollateral								Assets required to secure loan or credit repayments. It may take form of third party pledge, goods, financial instruments (cash, securities, etc.)
VideoGame, VideoGameSeries	game_platform	Text, Thing, URL	game-platform	gamePlatform								The electronic systems used to play <a href="http://en.wikipedia.org/wiki/Category:Video_game_platforms">video games</a>.
Organization, Person	knows_about	Text, Thing, URL	knows-about	knowsAbout	pending:							Of a <a class="localLink" href="/Person">Person</a>, and less typically of an <a class="localLink" href="/Organization">Organization</a>, to indicate a topic that is known about - suggesting possible expertise but not implying it. We do not distinguish skill levels here, or relate this to educational content, events, objectives or <a class="localLink" href="/JobPosting">JobPosting</a> descriptions.
SoftwareApplication	application_category	Text, URL	application-category	applicationCategory								Type of software application, e.g. 'Game, Multimedia'.
SoftwareApplication	application_sub_category	Text, URL	application-sub-category	applicationSubCategory								Subcategory of the application, e.g. 'Arcade Game'.
VisualArtwork	art_medium	Text, URL	art-medium	artMedium		material						The material used. (E.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)
VisualArtwork	artform	Text, URL	artform	artform								e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.
VisualArtwork	artwork_surface	Text, URL	artwork-surface	artworkSurface						surface		The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.
Demand, Offer, Product	asin	Text, URL	asin	asin	pending:	identifier						"An Amazon Standard Identification Number (ASIN) is a 10-character alphanumeric unique identifier assigned by Amazon.com and its partners for product identification within the Amazon organization (summary from <a href=""https://en.wikipedia.org/wiki/Amazon_Standard_Identification_Number"">Wikipedia</a>'s article).<br/><br/>

Note also that this is a definition for how to include ASINs in Schema.org data, and not a definition of ASINs in general - see documentation from Amazon for authoritative details.
ASINs are most commonly encoded as text strings, but the [asin] property supports URL/URI as potential values too."
BankAccount	bank_account_type	Text, URL	bank-account-type	bankAccountType	pending:							The type of a bank account.
CourseInstance	course_mode	Text, URL	course-mode	courseMode								The medium or means of delivery of the course instance or the mode of study, either as a text label (e.g. "online", "onsite" or "blended"; "synchronous" or "asynchronous"; "full-time" or "part-time") or as a URL reference to a term from a controlled vocabulary (e.g. https://ceds.ed.gov/element/001311#Asynchronous).
CreativeWork	edit_eidr	Text, URL	edit-eidr	editEIDR	pending:	identifier						"An <a href=""https://eidr.org/"">EIDR</a> (Entertainment Identifier Registry) <a class=""localLink"" href=""/identifier"">identifier</a> representing a specific edit / edition for a work of film or television.<br/><br/>

For example, the motion picture known as ""Ghostbusters"" whose <a class=""localLink"" href=""/titleEIDR"">titleEIDR</a> is ""10.5240/7EC7-228A-510A-053E-CBB8-J"" has several edits, e.g. ""10.5240/1F2A-E1C5-680A-14C6-E76B-I"" and ""10.5240/8A35-3BEE-6497-5D12-9E4F-3"".<br/><br/>

Since schema.org types like <a class=""localLink"" href=""/Movie"">Movie</a> and <a class=""localLink"" href=""/TVEpisode"">TVEpisode</a> can be used for both works and their multiple expressions, it is possible to use <a class=""localLink"" href=""/titleEIDR"">titleEIDR</a> alone (for a general description), or alongside <a class=""localLink"" href=""/editEIDR"">editEIDR</a> for a more edit-specific description."
EducationalOccupationalProgram	educational_program_mode	Text, URL	educational-program-mode	educationalProgramMode	pending:							Similar to courseMode, the medium or means of delivery of the program as a whole. The value may either be a text label (e.g. "online", "onsite" or "blended"; "synchronous" or "asynchronous"; "full-time" or "part-time") or a URL reference to a term from a controlled vocabulary (e.g. https://ceds.ed.gov/element/001311#Asynchronous ).
CreativeWork, MediaObject	encoding_format	Text, URL	encoding-format	encodingFormat						fileFormat		"Media type typically expressed using a MIME format (see <a href=""http://www.iana.org/assignments/media-types/media-types.xhtml"">IANA site</a> and <a href=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types"">MDN reference</a>), e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.<br/><br/>

In cases where a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a> has several media type representations, <a class=""localLink"" href=""/encoding"">encoding</a> can be used to indicate each <a class=""localLink"" href=""/MediaObject"">MediaObject</a> alongside particular <a class=""localLink"" href=""/encodingFormat"">encodingFormat</a> information.<br/><br/>

Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry."
SoftwareApplication	feature_list	Text, URL	feature-list	featureList								Features or modules provided by this application (and possibly required by other applications).
FinancialProduct, FinancialService	fees_and_commissions_specification	Text, URL	fees-and-commissions-specification	feesAndCommissionsSpecification								Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.
CreativeWork	file_format	Text, URL	file-format	fileFormat							encodingFormat	Media type, typically MIME format (see <a href="http://www.iana.org/assignments/media-types/media-types.xhtml">IANA site</a>) of the content, e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.
BroadcastChannel, CreativeWork, MusicGroup	genre	Text, URL	genre	genre				legislationType				Genre of the creative work, broadcast channel or group.
Demand, Offer, Product	gtin	Text, URL	gtin	gtin	pending:	identifier		gtin12, gtin13, gtin14, gtin8				"A Global Trade Item Number (<a href=""https://www.gs1.org/standards/id-keys/gtin"">GTIN</a>). GTINs identify trade items, including products and services, using numeric identification codes.<br/><br/>

The GS1 <a href=""https://www.gs1.org/standards/Digital-Link/"">digital link specifications</a> express GTINs as URLs (URIs, IRIs, etc.). Details including regular expression examples can be found in, Section 6 of the GS1 URI Syntax specification; see also <a href=""https://github.com/schemaorg/schemaorg/issues/3156#issuecomment-1209522809"">schema.org tracking issue</a> for schema.org-specific discussion. A correct <a class=""localLink"" href=""/gtin"">gtin</a> value should be a valid GTIN, which means that it should be an all-numeric string of either 8, 12, 13 or 14 digits, or a ""GS1 Digital Link"" URL based on such a string. The numeric component should also have a <a href=""https://www.gs1.org/services/check-digit-calculator"">valid GS1 check digit</a> and meet the other rules for valid GTINs. See also <a href=""http://www.gs1.org/barcodes/technical/idkeys/gtin"">GS1's GTIN Summary</a> and <a href=""https://en.wikipedia.org/wiki/Global_Trade_Item_Number"">Wikipedia</a> for more details. Left-padding of the gtin values is not required or encouraged. The <a class=""localLink"" href=""/gtin"">gtin</a> property generalizes the earlier <a class=""localLink"" href=""/gtin8"">gtin8</a>, <a class=""localLink"" href=""/gtin12"">gtin12</a>, <a class=""localLink"" href=""/gtin13"">gtin13</a>, and <a class=""localLink"" href=""/gtin14"">gtin14</a> properties.<br/><br/>

Note also that this is a definition for how to include GTINs in Schema.org data, and not a definition of GTINs in general - see the GS1 documentation for authoritative details."
Legislation	legislation_identifier	Text, URL	legislation-identifier	legislationIdentifier	pending:	identifier						An identifier for the legislation. This can be either a string-based identifier, like the CELEX at EU level or the NOR in France, or a web-based, URL/URI identifier, like an ELI (European Legislation Identifier) or an URN-Lex.
LoanOrCredit	loan_type	Text, URL	loan-type	loanType	pending:							The type of a loan or credit.
