label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
dropoffLocation					RentalCarReservation	Place				Where a rental car can be dropped off.
dropoffTime					RentalCarReservation	DateTime				When a rental car can be dropped off.
drug					DrugClass, MedicalCondition, Patient, TherapeuticProcedure	Drug				Specifying a drug or medicine used in a medication procedure.
drugClass					Drug	DrugClass				The class of drug this belongs to (e.g., statins).
drugUnit					Drug, DrugCost	Text				The unit in which the drug is measured, e.g. '5 mg tablet'.
duns		identifier			Organization, Person	Text				"The Dun &amp; Bradstreet DUNS number for identifying an organization or business person."
duplicateTherapy					MedicalTherapy	MedicalTherapy				A therapy that duplicates or overlaps this one.
duration				loanTerm	Audiobook, Episode, Event, MediaObject, Movie, MusicRecording, MusicRelease, QuantitativeValueDistribution, Schedule	Duration				"The duration of the item (movie, audio recording, event, etc.) in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>."
durationOfWarranty					WarrantyPromise	QuantitativeValue				The duration of the warranty promise. Common unitCode values are ANN for year, MON for months, or DAY for days.
duringMedia					HowToDirection	MediaObject, URL				A media object representing the circumstances while performing this direction.
earlyPrepaymentPenalty	pending:				RepaymentSpecification	MonetaryAmount				The amount to be paid as a penalty in the event of early payment of the loan.
editEIDR	pending:	identifier			CreativeWork	Text, URL				"An <a href=""https://eidr.org/"">EIDR</a> (Entertainment Identifier Registry) <a class=""localLink"" href=""/identifier"">identifier</a> representing a specific edit / edition for a work of film or television.<br/><br/>

For example, the motion picture known as ""Ghostbusters"" whose <a class=""localLink"" href=""/titleEIDR"">titleEIDR</a> is ""10.5240/7EC7-228A-510A-053E-CBB8-J"" has several edits, e.g. ""10.5240/1F2A-E1C5-680A-14C6-E76B-I"" and ""10.5240/8A35-3BEE-6497-5D12-9E4F-3"".<br/><br/>

Since schema.org types like <a class=""localLink"" href=""/Movie"">Movie</a> and <a class=""localLink"" href=""/TVEpisode"">TVEpisode</a> can be used for both works and their multiple expressions, it is possible to use <a class=""localLink"" href=""/titleEIDR"">titleEIDR</a> alone (for a general description), or alongside <a class=""localLink"" href=""/editEIDR"">editEIDR</a> for a more edit-specific description."
editor					CreativeWork	Person				Specifies the Person who edited the CreativeWork.
eduQuestionType	pending:				Question, SolveMathAction	Text				"For questions that are part of learning resources (e.g. Quiz), eduQuestionType indicates the format of question being given. Example: ""Multiple choice"", ""Open ended"", ""Flashcard""."
educationRequirements	pending:				JobPosting, Occupation	EducationalOccupationalCredential, Text				Educational background needed for the position or Occupation.
educationalAlignment					CreativeWork, LearningResource	AlignmentObject				"An alignment to an established educational framework.<br/><br/>

This property should not be used where the nature of the alignment can be described using a simple property, for example to express that a resource <a class=""localLink"" href=""/teaches"">teaches</a> or <a class=""localLink"" href=""/assesses"">assesses</a> a competency."
educationalCredentialAwarded					Course, EducationalOccupationalProgram	EducationalOccupationalCredential, Text, URL				A description of the qualification, award, certificate, diploma or other educational credential awarded as a consequence of successful completion of this course or program.
educationalFramework					AlignmentObject	Text				The framework to which the resource being described is aligned.
educationalLevel	pending:				CreativeWork, EducationEvent, EducationalOccupationalCredential, LearningResource	DefinedTerm, Text, URL				The level in terms of progression through an educational or training context. Examples of educational levels include 'beginner', 'intermediate' or 'advanced', and formal sets of level indicators.
educationalProgramMode	pending:				EducationalOccupationalProgram	Text, URL				"Similar to courseMode, the medium or means of delivery of the program as a whole. The value may either be a text label (e.g. ""online"", ""onsite"" or ""blended""; ""synchronous"" or ""asynchronous""; ""full-time"" or ""part-time"") or a URL reference to a term from a controlled vocabulary (e.g. https://ceds.ed.gov/element/001311#Asynchronous )."
educationalRole					EducationalAudience	Text				An educationalRole of an EducationalAudience.
educationalUse					CreativeWork, LearningResource	DefinedTerm, Text				"The purpose of a work in the context of education; for example, 'assignment', 'group work'."
elevation					GeoCoordinates, GeoShape	Number, Text				"The elevation of a location (<a href=""https://en.wikipedia.org/wiki/World_Geodetic_System"">WGS 84</a>). Values may be of the form 'NUMBER UNIT_OF_MEASUREMENT' (e.g., '1,000 m', '3,200 ft') while numbers alone should be assumed to be a value in meters."
eligibilityToWorkRequirement	pending:				JobPosting	Text				The legal requirements such as citizenship, visa and other documentation required for an applicant to this job.
eligibleCustomerType					Demand, Offer	BusinessEntityType				The type(s) of customers for which the given offer is valid.
eligibleDuration					Demand, Offer	QuantitativeValue				The duration for which the given offer is valid.
eligibleQuantity					Demand, Offer, PriceSpecification	QuantitativeValue				The interval and unit of measurement of ordering quantities for which the offer or price specification is valid. This allows e.g. specifying that a certain freight charge is valid only for a certain quantity.
eligibleRegion		areaServed			ActionAccessSpecification, DeliveryChargeSpecification, Demand, Offer	GeoShape, Place, Text				"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is valid.<br/><br/>

See also <a class=""localLink"" href=""/ineligibleRegion"">ineligibleRegion</a>."
eligibleTransactionVolume					Demand, Offer, PriceSpecification	PriceSpecification				The transaction volume, in a monetary unit, for which the offer or price specification is valid, e.g. for indicating a minimal purchasing volume, to express free shipping above a certain order volume, or to limit the acceptance of credit cards to purchases to a certain minimal amount.
email					ContactPoint, Organization, Person	Text				Email address.
embedUrl					MediaObject	URL				A URL pointing to a player for a specific video. In general, this is the information in the <code>src</code> element of an <code>embed</code> tag and should not be the same as the content of the <code>loc</code> tag.
embeddedTextCaption	pending:	caption			AudioObject, ImageObject, VideoObject	Text				"Represents textual captioning from a <a class=""localLink"" href=""/MediaObject"">MediaObject</a>, e.g. text of a 'meme'."
emissionsCO2	https://auto.schema.org				Vehicle	Number				"The CO2 emissions in g/km. When used in combination with a QuantitativeValue, put ""g/km"" into the unitText property of that value, since there is no UN/CEFACT Common Code for ""g/km""."
employee					Organization	Person		employees		Someone working for this organization.
employees					Organization	Person			employee	People working for this organization.
employerOverview	pending:				JobPosting	Text				A description of the employer, career opportunities and work environment for this position.
employmentType					JobPosting	Text				Type of employment (e.g. full-time, part-time, contract, temporary, seasonal, internship).
employmentUnit	pending:				JobPosting	Organization				Indicates the department, unit and/or facility where the employee reports and/or in which the job is to be performed.
encodesBioChemEntity	pending:				Gene	BioChemEntity	isEncodedByBioChemEntity			Another BioChemEntity encoded by this one.
encodesCreativeWork					MediaObject	CreativeWork	encoding			The CreativeWork encoded by this media object.
encoding					CreativeWork	MediaObject	encodesCreativeWork	encodings		A media object that encodes this CreativeWork. This property is a synonym for associatedMedia.
encodingFormat					CreativeWork, MediaObject	Text, URL		fileFormat		"Media type typically expressed using a MIME format (see <a href=""http://www.iana.org/assignments/media-types/media-types.xhtml"">IANA site</a> and <a href=""https://developer.mozilla.org/en-US/docs/Web/HTTP/Basics_of_HTTP/MIME_types"">MDN reference</a>), e.g. application/zip for a SoftwareApplication binary, audio/mpeg for .mp3 etc.<br/><br/>

In cases where a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a> has several media type representations, <a class=""localLink"" href=""/encoding"">encoding</a> can be used to indicate each <a class=""localLink"" href=""/MediaObject"">MediaObject</a> alongside particular <a class=""localLink"" href=""/encodingFormat"">encodingFormat</a> information.<br/><br/>

Unregistered or niche encoding and file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia/Wikidata entry."
encodingType					EntryPoint	Text				The supported encoding type(s) for an EntryPoint request.
encodings					CreativeWork	MediaObject			encoding	A media object that encodes this CreativeWork.
endDate					CreativeWorkSeason, CreativeWorkSeries, DatedMoneySpecification, EducationalOccupationalProgram, Event, MerchantReturnPolicySeasonalOverride, Role, Schedule	Date, DateTime				"The end date and time of the item (in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>)."
endOffset	pending:				Clip	HyperTocEntry, Number				The end time of the clip expressed as the number of seconds from the beginning of the work.
endTime					Action, FoodEstablishmentReservation, InteractionCounter, MediaObject, Schedule	DateTime, Time				"The endTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to end. For actions that span a period of time, when the action was performed. E.g. John wrote a book from January to <em>December</em>. For media, including audio and video, it's the time offset of the end of a clip within a larger file.<br/><br/>

Note that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions."
endorsee		participant			EndorseAction	Organization, Person				A sub property of participant. The person/organization being supported.
endorsers					Diet	Organization, Person				People or organizations that endorse the plan.
energyEfficiencyScaleMax	pending:				EnergyConsumptionDetails	EUEnergyEfficiencyEnumeration				Specifies the most energy efficient class on the regulated EU energy consumption scale for the product category a product belongs to. For example, energy consumption for televisions placed on the market after January 1, 2020 is scaled from D to A+++.
energyEfficiencyScaleMin	pending:				EnergyConsumptionDetails	EUEnergyEfficiencyEnumeration				Specifies the least energy efficient class on the regulated EU energy consumption scale for the product category a product belongs to. For example, energy consumption for televisions placed on the market after January 1, 2020 is scaled from D to A+++.
engineDisplacement	https://auto.schema.org				EngineSpecification	QuantitativeValue				"The volume swept by all of the pistons inside the cylinders of an internal combustion engine in a single movement. <br/><br/>

Typical unit code(s): CMQ for cubic centimeter, LTR for liters, INQ for cubic inches
* Note 1: You can link to information about how the given value has been determined using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property.
* Note 2: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges."
enginePower	https://auto.schema.org				EngineSpecification	QuantitativeValue				"The power of the vehicle's engine.
    Typical unit code(s): KWT for kilowatt, BHP for brake horsepower, N12 for metric horsepower (PS, with 1 PS = 735,49875 W)<br/><br/>

<ul>
<li>Note 1: There are many different ways of measuring an engine's power. For an overview, see  <a href=""http://en.wikipedia.org/wiki/Horsepower#Engine_power_test_codes"">http://en.wikipedia.org/wiki/Horsepower#Engine_power_test_codes</a>.</li>
<li>Note 2: You can link to information about how the given value has been determined using the <a class=""localLink"" href=""/valueReference"">valueReference</a> property.</li>
<li>Note 3: You can use <a class=""localLink"" href=""/minValue"">minValue</a> and <a class=""localLink"" href=""/maxValue"">maxValue</a> to indicate ranges.</li>
</ul>"
engineType	https://auto.schema.org				EngineSpecification	QualitativeValue, Text, URL				The type of engine or engines powering the vehicle.
entertainmentBusiness		location			PerformAction	EntertainmentBusiness				A sub property of location. The entertainment business where the action occurred.
epidemiology					MedicalCondition, PhysicalActivity	Text				The characteristics of associated patients, such as age, gender, race etc.
episode		hasPart			CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries	Episode		episodes		An episode of a TV, radio or game media within a series or season.
episodeNumber		position			Episode	Integer, Text				Position of the episode within an ordered group of episodes.
episodes					CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries	Episode			episode	An episode of a TV/radio series or season.
equal					QualitativeValue	QualitativeValue				This ordering relation for qualitative values indicates that the subject is equal to the object.
error					Action	Thing				For failed actions, more information on the cause of the failure.
estimatedCost					HowTo, HowToSupply	MonetaryAmount, Text				The estimated cost of the supply or supplies consumed when performing instructions.
estimatedFlightDuration					Flight	Duration, Text				The estimated time the flight will take.
estimatedSalary					JobPosting, Occupation	MonetaryAmount, MonetaryAmountDistribution, Number				An estimated salary for a job posting or occupation, based on a variety of variables including, but not limited to industry, job title, and location. Estimated salaries  are often computed by outside organizations rather than the hiring organization, who may not have committed to the estimated value.
estimatesRiskOf					MedicalRiskEstimator	MedicalEntity				The condition, complication, or symptom whose risk is being estimated.
ethicsPolicy	pending:				NewsMediaOrganization, Organization	CreativeWork, URL				"Statement about ethics policy, e.g. of a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> regarding journalistic and publishing practices, or of a <a class=""localLink"" href=""/Restaurant"">Restaurant</a>, a page describing food source policies. In the case of a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, an ethicsPolicy is typically a statement describing the personal, organizational, and corporate standards of behavior expected by the organization."
event					InformAction, InviteAction, JoinAction, LeaveAction, Organization, Place, PlayAction	Event		events		Upcoming or past event associated with this place, organization, or action.
eventAttendanceMode	pending:				Event	EventAttendanceModeEnumeration				The eventAttendanceMode of an event indicates whether it occurs online, offline, or a mix.
eventSchedule	pending:				Event	Schedule				"Associates an <a class=""localLink"" href=""/Event"">Event</a> with a <a class=""localLink"" href=""/Schedule"">Schedule</a>. There are circumstances where it is preferable to share a schedule for a series of
      repeating events rather than data on the individual events themselves. For example, a website or application might prefer to publish a schedule for a weekly
      gym class rather than provide data on every event. A schedule could be processed by applications to add forthcoming events to a calendar. An <a class=""localLink"" href=""/Event"">Event</a> that
      is associated with a <a class=""localLink"" href=""/Schedule"">Schedule</a> using this property should not have <a class=""localLink"" href=""/startDate"">startDate</a> or <a class=""localLink"" href=""/endDate"">endDate</a> properties. These are instead defined within the associated
      <a class=""localLink"" href=""/Schedule"">Schedule</a>, this avoids any ambiguity for clients using the data. The property might have repeated values to specify different schedules, e.g. for different months
      or seasons."
eventStatus					Event	EventStatusType				"An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled."
events					Organization, Place	Event			event	Upcoming or past events associated with this place or organization.
evidenceLevel					MedicalGuideline	MedicalEvidenceLevel				Strength of evidence of the data used to formulate the guideline (enumerated).
evidenceOrigin					MedicalGuideline	Text				Source of the data used to formulate the guidance, e.g. RCT, consensus opinion, etc.
exampleOfWork					CreativeWork	CreativeWork	workExample			A creative work that this work is an example/instance/realization/derivation of.
exceptDate	pending:				Schedule	Date, DateTime				"Defines a <a class=""localLink"" href=""/Date"">Date</a> or <a class=""localLink"" href=""/DateTime"">DateTime</a> during which a scheduled <a class=""localLink"" href=""/Event"">Event</a> will not take place. The property allows exceptions to
      a <a class=""localLink"" href=""/Schedule"">Schedule</a> to be specified. If an exception is specified as a <a class=""localLink"" href=""/DateTime"">DateTime</a> then only the event that would have started at that specific date and time
      should be excluded from the schedule. If an exception is specified as a <a class=""localLink"" href=""/Date"">Date</a> then any event that is scheduled for that 24 hour period should be
      excluded from the schedule. This allows a whole day to be excluded from the schedule without having to itemise every scheduled event."
exchangeRateSpread	pending:				ExchangeRateSpecification	MonetaryAmount, Number				The difference between the price at which a broker or other intermediary buys and sells foreign currency.
executableLibraryName					APIReference	Text		assembly		Library file name, e.g., mscorlib.dll, system.web.dll.
exerciseCourse		location			ExerciseAction	Place		course		A sub property of location. The course where this action was taken.
exercisePlan		instrument			ExerciseAction	ExercisePlan				A sub property of instrument. The exercise plan used on this action.
exerciseRelatedDiet		instrument			ExerciseAction	Diet				A sub property of instrument. The diet used in this action.
exerciseType					ExerciseAction, ExercisePlan	Text				Type(s) of exercise or activity, such as strength training, flexibility training, aerobics, cardiac rehabilitation, etc.
exifData					ImageObject	PropertyValue, Text				exif data for this object.
expectedArrivalFrom					ParcelDelivery	Date, DateTime				The earliest date the package may arrive.
expectedArrivalUntil					ParcelDelivery	Date, DateTime				The latest date the package may arrive.
expectedPrognosis					MedicalCondition	Text				The likely outcome in either the short term or long term of the medical condition.
expectsAcceptanceOf					ActionAccessSpecification, ConsumeAction, MediaSubscription	Offer				An Offer which must be accepted before the user can perform the Action. For example, the user may need to buy a movie before being able to watch it.
experienceInPlaceOfEducation	pending:				JobPosting	Boolean				"Indicates whether a <a class=""localLink"" href=""/JobPosting"">JobPosting</a> will accept experience (as indicated by <a class=""localLink"" href=""/OccupationalExperienceRequirements"">OccupationalExperienceRequirements</a>) in place of its formal educational qualifications (as indicated by <a class=""localLink"" href=""/educationRequirements"">educationRequirements</a>). If true, indicates that satisfying one of these requirements is sufficient."
experienceRequirements					JobPosting, Occupation	OccupationalExperienceRequirements, Text				Description of skills and experience needed for the position or Occupation.
expertConsiderations					Diet	Text				Medical expert advice related to the plan.
expires					CreativeWork	Date, DateTime				"Date the content expires and is no longer useful or available. For example a <a class=""localLink"" href=""/VideoObject"">VideoObject</a> or <a class=""localLink"" href=""/NewsArticle"">NewsArticle</a> whose availability or relevance is time-limited, or a <a class=""localLink"" href=""/ClaimReview"">ClaimReview</a> fact check whose publisher wants to indicate that it may no longer be relevant (or helpful to highlight) after some date."
expressedIn	pending:				Gene	AnatomicalStructure, AnatomicalSystem, BioChemEntity, DefinedTerm				Tissue, organ, biological sample, etc in which activity of this gene has been observed experimentally. For example brain, digestive system.
familyName					Person	Text				Family name. In the U.S., the last name of a Person.
fatContent					NutritionInformation	Mass				The number of grams of fat.
faxNumber					ContactPoint, Organization, Person, Place	Text				The fax number.
featureList					SoftwareApplication	Text, URL				Features or modules provided by this application (and possibly required by other applications).
feesAndCommissionsSpecification					FinancialProduct, FinancialService	Text, URL				Description of fees, commissions, and other terms applied either to a class of financial product, or by a financial service organization.
fiberContent					NutritionInformation	Mass				The number of grams of fiber.
fileFormat					CreativeWork	Text, URL			encodingFormat	"Media type, typically MIME format (see <a href=""http://www.iana.org/assignments/media-types/media-types.xhtml"">IANA site</a>) of the content, e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry."
fileSize					SoftwareApplication	Text				Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.
financialAidEligible	pending:				EducationalOccupationalProgram	DefinedTerm, Text				A financial aid type or program which students may use to pay for tuition or fees associated with the program.
firstAppearance	pending:	workExample			Claim	CreativeWork				"Indicates the first known occurrence of a <a class=""localLink"" href=""/Claim"">Claim</a> in some <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
firstPerformance					MusicComposition	Event				The date and place the work was first performed.
flightDistance					Flight	Distance, Text				The distance of the flight.
flightNumber		identifier			Flight	Text				The unique identifier for a flight including the airline IATA code. For example, if describing United flight 110, where the IATA code for United is 'UA', the flightNumber is 'UA110'.
floorLevel	pending:				Accommodation	Text				"The floor level for an <a class=""localLink"" href=""/Accommodation"">Accommodation</a> in a multi-storey building. Since counting
  systems <a href=""https://en.wikipedia.org/wiki/Storey#Consecutive_number_floor_designations"">vary internationally</a>, the local system should be used where possible."
floorLimit	pending:				PaymentCard	MonetaryAmount				A floor limit is the amount of money above which credit card transactions must be authorized.
floorSize					Accommodation, FloorPlan	QuantitativeValue				"The size of the accommodation, e.g. in square meter or squarefoot.
Typical unit code(s): MTK for square meter, FTK for square foot, or YDK for square yard"
followee		object			FollowAction	Organization, Person				A sub property of object. The person or organization being followed.
follows					Person	Person				The most generic uni-directional social relation.
followup					MedicalProcedure	Text				Typical or recommended followup care after the procedure is performed.
foodEstablishment		location			CookAction	FoodEstablishment, Place				A sub property of location. The specific food establishment where the action occurred.
foodEvent		location			CookAction	FoodEvent				A sub property of location. The specific food event where the action occurred.
foodWarning					Drug	Text				Any precaution, guidance, contraindication, etc. related to consumption of specific foods while taking this drug.
founder					Organization	Person		founders		A person who founded this organization.
founders					Organization	Person			founder	A person who founded this organization.
foundingDate					Organization	Date				The date that this organization was founded.
foundingLocation					Organization	Place				The place where the Organization was founded.
free					PublicationEvent	Boolean			isAccessibleForFree	A flag to signal that the item, event, or place is accessible for free.
freeShippingThreshold	pending:				ShippingRateSettings	DeliveryChargeSpecification, MonetaryAmount				"A monetary value above (or at) which the shipping rate becomes free. Intended to be used via an <a class=""localLink"" href=""/OfferShippingDetails"">OfferShippingDetails</a> with <a class=""localLink"" href=""/shippingSettingsLink"">shippingSettingsLink</a> matching this <a class=""localLink"" href=""/ShippingRateSettings"">ShippingRateSettings</a>."
frequency				repeatFrequency	DoseSchedule	Text				How often the dose is taken, e.g. 'daily'.
fromLocation		location			ExerciseAction, MoveAction, TransferAction	Place				A sub property of location. The original location of the object or the agent before the action.
fuelCapacity	https://auto.schema.org				Vehicle	QuantitativeValue				"The capacity of the fuel tank or in the case of electric cars, the battery. If there are multiple components for storage, this should indicate the total of all storage of the same type.<br/><br/>

Typical unit code(s): LTR for liters, GLL of US gallons, GLI for UK / imperial gallons, AMH for ampere-hours (for electrical vehicles)."
fuelConsumption					Vehicle	QuantitativeValue				"The amount of fuel consumed for traveling a particular distance or temporal duration with the given vehicle (e.g. liters per 100 km).<br/><br/>

<ul>
<li>Note 1: There are unfortunately no standard unit codes for liters per 100 km.  Use <a class=""localLink"" href=""/unitText"">unitText</a> to indicate the unit of measurement, e.g. L/100 km.</li>
<li>Note 2: There are two ways of indicating the fuel consumption, <a class=""localLink"" href=""/fuelConsumption"">fuelConsumption</a> (e.g. 8 liters per 100 km) and <a class=""localLink"" href=""/fuelEfficiency"">fuelEfficiency</a> (e.g. 30 miles per gallon). They are reciprocal.</li>
<li>Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use <a class=""localLink"" href=""/valueReference"">valueReference</a> to link the value for the fuel consumption to another value.</li>
</ul>"
fuelEfficiency					Vehicle	QuantitativeValue				"The distance traveled per unit of fuel used; most commonly miles per gallon (mpg) or kilometers per liter (km/L).<br/><br/>

<ul>
<li>Note 1: There are unfortunately no standard unit codes for miles per gallon or kilometers per liter. Use <a class=""localLink"" href=""/unitText"">unitText</a> to indicate the unit of measurement, e.g. mpg or km/L.</li>
<li>Note 2: There are two ways of indicating the fuel consumption, <a class=""localLink"" href=""/fuelConsumption"">fuelConsumption</a> (e.g. 8 liters per 100 km) and <a class=""localLink"" href=""/fuelEfficiency"">fuelEfficiency</a> (e.g. 30 miles per gallon). They are reciprocal.</li>
<li>Note 3: Often, the absolute value is useful only when related to driving speed (""at 80 km/h"") or usage pattern (""city traffic""). You can use <a class=""localLink"" href=""/valueReference"">valueReference</a> to link the value for the fuel economy to another value.</li>
</ul>"
fuelType					EngineSpecification, Vehicle	QualitativeValue, Text, URL				The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.
functionalClass					Joint	MedicalEntity, Text				The degree of mobility the joint allows.
fundedItem	pending:				Grant	BioChemEntity, CreativeWork, Event, MedicalEntity, Organization, Person, Product	funding			"Indicates something directly or indirectly funded or sponsored through a <a class=""localLink"" href=""/Grant"">Grant</a>. See also <a class=""localLink"" href=""/ownershipFundingInfo"">ownershipFundingInfo</a>."
funder		sponsor			CreativeWork, Event, Grant, MonetaryGrant, Organization, Person	Organization, Person				A person or organization that supports (sponsors) something through some kind of financial contribution.
funding	pending:				BioChemEntity, CreativeWork, Event, MedicalEntity, Organization, Person, Product	Grant	fundedItem			"A <a class=""localLink"" href=""/Grant"">Grant</a> that directly or indirectly provide funding or sponsorship for this item. See also <a class=""localLink"" href=""/ownershipFundingInfo"">ownershipFundingInfo</a>."
game					GameServer	VideoGame	gameServer			Video game which is played on this server.
gameAvailabilityType	pending:				PlayGameAction	GameAvailabilityEnumeration, Text				Indicates the availability type of the game content associated with this action, such as whether it is a full version or a demo.
gameEdition					VideoGame	Text				The edition of a video game.
gameItem					Game, VideoGameSeries	Thing				An item is an object within the game world that can be collected by a player or, occasionally, a non-player character.
gameLocation					Game, VideoGameSeries	Place, PostalAddress, URL				Real or fictional location of the game (or part of game).
gamePlatform					VideoGame, VideoGameSeries	Text, Thing, URL				"The electronic systems used to play <a href=""http://en.wikipedia.org/wiki/Category:Video_game_platforms"">video games</a>."
gameServer					VideoGame	GameServer	game			The server on which  it is possible to play the game.
gameTip					VideoGame	CreativeWork				Links to tips, tactics, etc.
gender	pending:				Person, SportsTeam	GenderType, Text				"Gender of something, typically a <a class=""localLink"" href=""/Person"">Person</a>, but possibly also fictional characters, animals, etc. While Male and Female may be used, text strings are also acceptable for people who do not identify as a binary gender. The <a class=""localLink"" href=""/gender"">gender</a> property can also be used in an extended sense to cover e.g. the gender of sports teams. As with the gender of individuals, we do not try to enumerate all possibilities. A mixed-gender <a class=""localLink"" href=""/SportsTeam"">SportsTeam</a> can be indicated with a text value of ""Mixed""."
genre				legislationType	BroadcastChannel, CreativeWork, MusicGroup	Text, URL				Genre of the creative work, broadcast channel or group.
geo					Place	GeoCoordinates, GeoShape				The geo coordinates of the place.
geoContains					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents a relationship between two geometries (or the places they represent), relating a containing geometry to a contained geometry. ""a contains b iff no points of b lie in the exterior of a, and at least one point of the interior of b lies in the interior of a"". As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
geoCoveredBy					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents a relationship between two geometries (or the places they represent), relating a geometry to another that covers it. As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
geoCovers					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents a relationship between two geometries (or the places they represent), relating a covering geometry to a covered geometry. ""Every point of b is a point of (the interior or boundary of) a"". As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
geoCrosses					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents a relationship between two geometries (or the places they represent), relating a geometry to another that crosses it: ""a crosses b: they have some but not all interior points in common, and the dimension of the intersection is less than that of at least one of them"". As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
geoDisjoint					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents spatial relations in which two geometries (or the places they represent) are topologically disjoint: ""they have no point in common. They form a set of disconnected geometries."" (A symmetric relationship, as defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>.)"
geoEquals					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents spatial relations in which two geometries (or the places they represent) are topologically equal, as defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>. ""Two geometries are topologically equal if their interiors intersect and no part of the interior or boundary of one geometry intersects the exterior of the other"" (a symmetric relationship)."
geoIntersects					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents spatial relations in which two geometries (or the places they represent) have at least one point in common. As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
geoMidpoint					GeoCircle	GeoCoordinates				Indicates the GeoCoordinates at the centre of a GeoShape, e.g. GeoCircle.
geoOverlaps					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents a relationship between two geometries (or the places they represent), relating a geometry to another that geospatially overlaps it, i.e. they have some but not all points in common. As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
geoRadius					GeoCircle	Distance, Number, Text				Indicates the approximate radius of a GeoCircle (metres unless indicated otherwise via Distance notation).
geoTouches					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents spatial relations in which two geometries (or the places they represent) touch: ""they have at least one boundary point in common, but no interior points."" (A symmetric relationship, as defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>.)"
geoWithin					GeospatialGeometry, Place	GeospatialGeometry, Place				"Represents a relationship between two geometries (or the places they represent), relating a geometry to one that contains it, i.e. it is inside (i.e. within) its interior. As defined in <a href=""https://en.wikipedia.org/wiki/DE-9IM"">DE-9IM</a>."
geographicArea					Audience	AdministrativeArea				The geographic area associated with the audience.
gettingTestedInfo	pending:				SpecialAnnouncement	URL, WebContent				"Information about getting tested (for a <a class=""localLink"" href=""/MedicalCondition"">MedicalCondition</a>), e.g. in the context of a pandemic."
givenName					Person	Text				Given name. In the U.S., the first name of a Person.
globalLocationNumber		identifier			Organization, Person, Place	Text				"The <a href=""http://www.gs1.org/gln"">Global Location Number</a> (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations."
governmentBenefitsInfo	pending:				SpecialAnnouncement	GovernmentService				governmentBenefitsInfo provides information about government benefits associated with a SpecialAnnouncement.
gracePeriod	pending:				LoanOrCredit	Duration				The period of time after any due date that the borrower has to fulfil its obligations before a default (failure to pay) is deemed to have occurred.
