label-dash	rangeIncludes	domainIncludes	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
main-entity-of-page	"CreativeWork, URL"	Thing	main_entity_of_page	mainEntityOfPage					mainEntity			"Indicates a page (or other CreativeWork) for which this thing is the main entity being described. See <a href=""/docs/datamodel.html#mainEntityBackground"">background notes</a> for details."
masthead	"CreativeWork, URL"	NewsMediaOrganization	masthead	masthead	pending:	publishingPrinciples						"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, a link to the masthead page or a page listing top editorial management."
mission-coverage-priorities-policy	"CreativeWork, URL"	NewsMediaOrganization	mission_coverage_priorities_policy	missionCoveragePrioritiesPolicy	pending:	publishingPrinciples						"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>, a statement on coverage priorities, including any public agenda or stance on issues."
no-bylines-policy	"CreativeWork, URL"	NewsMediaOrganization	no_bylines_policy	noBylinesPolicy	pending:	publishingPrinciples						"For a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> or other news-related <a class=""localLink"" href=""/Organization"">Organization</a>, a statement explaining when authors of articles are not named in bylines."
publishing-principles	"CreativeWork, URL"	"CreativeWork, Organization, Person"	publishing_principles	publishingPrinciples				"actionableFeedbackPolicy, correctionsPolicy, diversityStaffingReport, masthead, missionCoveragePrioritiesPolicy, noBylinesPolicy, ownershipFundingInfo, unnamedSourcesPolicy, verificationFactCheckingPolicy"				"The publishingPrinciples property indicates (typically via <a class=""localLink"" href=""/URL"">URL</a>) a document describing the editorial principles of an <a class=""localLink"" href=""/Organization"">Organization</a> (or individual, e.g. a <a class=""localLink"" href=""/Person"">Person</a> writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a> (e.g. <a class=""localLink"" href=""/NewsArticle"">NewsArticle</a>) the principles are those of the party primarily responsible for the creation of the <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>.<br/><br/>

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a <a class=""localLink"" href=""/funder"">funder</a>) can be expressed using schema.org terminology."
sd-license	"CreativeWork, URL"	CreativeWork	sd_license	sdLicense	pending:							"A license document that applies to this structured data, typically indicated by URL."
unnamed-sources-policy	"CreativeWork, URL"	"NewsMediaOrganization, Organization"	unnamed_sources_policy	unnamedSourcesPolicy	pending:	publishingPrinciples						"For an <a class=""localLink"" href=""/Organization"">Organization</a> (typically a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a>), a statement about policy on use of unnamed sources and the decision process required."
usage-info	"CreativeWork, URL"	CreativeWork	usage_info	usageInfo	pending:			acquireLicensePage				"The schema.org <a class=""localLink"" href=""/usageInfo"">usageInfo</a> property indicates further information about a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>. This property is applicable both to works that are freely available and to those that require payment or other transactions. It can reference additional information, e.g. community expectations on preferred linking and citation conventions, as well as purchasing details. For something that can be commercially licensed, usageInfo can provide detailed, resource-specific information about licensing options.<br/><br/>

This property can be used alongside the license property which indicates license(s) applicable to some piece of content. The usageInfo property can provide information about other licensing options, e.g. acquiring commercial usage rights for an image that is also available under non-commercial creative commons licenses."
verification-fact-checking-policy	"CreativeWork, URL"	NewsMediaOrganization	verification_fact_checking_policy	verificationFactCheckingPolicy	pending:	publishingPrinciples						"Disclosure about verification and fact-checking processes for a <a class=""localLink"" href=""/NewsMediaOrganization"">NewsMediaOrganization</a> or other fact-checking <a class=""localLink"" href=""/Organization"">Organization</a>."
contains-season	CreativeWorkSeason	"RadioSeries, TVSeries, VideoGameSeries"	contains_season	containsSeason		hasPart				season		A season that is part of the media series.
part-of-season	CreativeWorkSeason	"Clip, Episode"	part_of_season	partOfSeason		isPartOf						The season to which this episode belongs.
seasons	CreativeWorkSeason	"RadioSeries, TVSeries, VideoGameSeries"	seasons	seasons							season	A season in a media series.
season	"CreativeWorkSeason, URL"	"RadioSeries, TVSeries, VideoGameSeries"	season	season		hasPart				seasons	containsSeason	A season in a media series.
part-of-series	CreativeWorkSeries	"Clip, CreativeWorkSeason, Episode"	part_of_series	partOfSeries		isPartOf				partOfTVSeries		The series to which this episode or season belongs.
css-selector	CssSelectorType	"SpeakableSpecification, WebPageElement"	css_selector	cssSelector								"A CSS selector, e.g. of a <a class=""localLink"" href=""/SpeakableSpecification"">SpeakableSpecification</a> or <a class=""localLink"" href=""/WebPageElement"">WebPageElement</a>. In the latter case, multiple matches within a page can constitute a single conceptual ""Web page element""."
catalog	DataCatalog	Dataset	catalog	catalog							includedInDataCatalog	A data catalog which contains this dataset.
included-data-catalog	DataCatalog	Dataset	included_data_catalog	includedDataCatalog							includedInDataCatalog	"A data catalog which contains this dataset (this property was previously 'catalog', preferred name is now 'includedInDataCatalog')."
included-in-data-catalog	DataCatalog	Dataset	included_in_data_catalog	includedInDataCatalog					dataset	"catalog, includedDataCatalog"		A data catalog which contains this dataset.
distribution	DataDownload	Dataset	distribution	distribution								"A downloadable form of this dataset, at a specific location, in a specific format. This property can be repeated if different variations are available. There is no expectation that different downloadable distributions must contain exactly equivalent information (see also <a href=""https://www.w3.org/TR/vocab-dcat-3/#Class:Distribution"">DCAT</a> on this point). Different distributions might include or exclude different subsets of the entire dataset, for example."
supporting-data	DataFeed	SoftwareApplication	supporting_data	supportingData								Supporting data for a SoftwareApplication.
web-feed	"DataFeed, URL"	"PodcastSeries, SpecialAnnouncement"	web_feed	webFeed	pending:							"The URL for a feed, e.g. associated with a podcast series, blog, or series of date-stamped updates. This is usually RSS or Atom."
data-feed-element	"DataFeedItem, Text, Thing"	DataFeed	data_feed_element	dataFeedElement								An item within a data feed. Data feeds may have many elements.
dataset	Dataset	DataCatalog	dataset	dataset					includedInDataCatalog			A dataset contained in this catalog.
disease-spread-statistics	"Dataset, Observation, URL, WebContent"	SpecialAnnouncement	disease_spread_statistics	diseaseSpreadStatistics	pending:							"Statistical information about the spread of a disease, either as <a class=""localLink"" href=""/WebContent"">WebContent</a>, or
  described directly as a <a class=""localLink"" href=""/Dataset"">Dataset</a>, or the specific <a class=""localLink"" href=""/Observation"">Observation</a>s in the dataset. When a <a class=""localLink"" href=""/WebContent"">WebContent</a> URL is
  provided, the page indicated might also contain more such markup."
measured-value	DataType	Observation	measured_value	measuredValue	pending:							"The measuredValue of an <a class=""localLink"" href=""/Observation"">Observation</a>."
day-of-week	DayOfWeek	"EducationalOccupationalProgram, OpeningHoursSpecification"	day_of_week	dayOfWeek								The day of the week for which these opening hours are valid.
by-day	"DayOfWeek, Text"	Schedule	by_day	byDay	pending:							"Defines the day(s) of the week on which a recurring <a class=""localLink"" href=""/Event"">Event</a> takes place. May be specified using either <a class=""localLink"" href=""/DayOfWeek"">DayOfWeek</a>, or alternatively <a class=""localLink"" href=""/Text"">Text</a> conforming to iCal's syntax for byDay recurrence rules."
differential-diagnosis	DDxElement	MedicalCondition	differential_diagnosis	differentialDiagnosis								"One of a set of differential diagnoses for the condition. Specifically, a closely-related or competing diagnosis typically considered later in the cognitive process whereby this medical condition is distinguished from others most likely responsible for a similar collection of signs and symptoms to reach the most parsimonious diagnosis or diagnoses in a patient."
shipping-destination	DefinedRegion	"DeliveryTimeSettings, OfferShippingDetails, ShippingRateSettings"	shipping_destination	shippingDestination	pending:							"indicates (possibly multiple) shipping destinations. These can be defined in several ways, e.g. postalCode ranges."
shipping-origin	DefinedRegion	OfferShippingDetails	shipping_origin	shippingOrigin	pending:							"Indicates the origin of a shipment, i.e. where it should be coming from."
biological-role	DefinedTerm	BioChemEntity	biological_role	biologicalRole	pending:							A role played by the BioChemEntity within a biological context.
chemical-role	DefinedTerm	"ChemicalSubstance, MolecularEntity"	chemical_role	chemicalRole	pending:							A role played by the BioChemEntity within a chemical context.
has-defined-term	DefinedTerm	"DefinedTermSet, Taxon"	has_defined_term	hasDefinedTerm	pending:			hasCategoryCode				A Defined Term contained in this term set.
potential-use	DefinedTerm	"ChemicalSubstance, MolecularEntity"	potential_use	potentialUse	pending:							Intended use of the BioChemEntity by humans.
value-reference	"DefinedTerm, Enumeration, MeasurementTypeEnumeration, PropertyValue, QualitativeValue, QuantitativeValue, StructuredValue, Text"	"PropertyValue, QualitativeValue, QuantitativeValue"	value_reference	valueReference								"A secondary value that provides additional information on the original value, e.g. a reference temperature or a type of measurement."
has-molecular-function	"DefinedTerm, PropertyValue, URL"	BioChemEntity	has_molecular_function	hasMolecularFunction	pending:							Molecular function performed by this BioChemEntity; please use PropertyValue if you want to include any evidence.
is-involved-in-biological-process	"DefinedTerm, PropertyValue, URL"	BioChemEntity	is_involved_in_biological_process	isInvolvedInBiologicalProcess	pending:							Biological process this BioChemEntity is involved in; please use PropertyValue if you want to include any evidence.
is-located-in-subcellular-location	"DefinedTerm, PropertyValue, URL"	BioChemEntity	is_located_in_subcellular_location	isLocatedInSubcellularLocation	pending:							Subcellular location where this BioChemEntity is located; please use PropertyValue if you want to include any evidence.
size	"DefinedTerm, QuantitativeValue, SizeSpecification, Text"	"CreativeWork, Product"	size	size	pending:							"A standardized size of a product or creative work, specified either through a simple textual string (for example 'XL', '32Wx34L'), a  QuantitativeValue with a unitCode, or a comprehensive and structured <a class=""localLink"" href=""/SizeSpecification"">SizeSpecification</a>; in other cases, the <a class=""localLink"" href=""/width"">width</a>, <a class=""localLink"" href=""/height"">height</a>, <a class=""localLink"" href=""/depth"">depth</a> and <a class=""localLink"" href=""/weight"">weight</a> properties may be more applicable."
taxonomic-range	"DefinedTerm, Taxon, Text, URL"	BioChemEntity	taxonomic_range	taxonomicRange	pending:							"The taxonomic grouping of the organism that expresses, encodes, or in some way related to the BioChemEntity."
assesses	"DefinedTerm, Text"	"CreativeWork, EducationEvent, LearningResource"	assesses	assesses	pending:							The item being described is intended to assess the competency or learning outcome defined by the referenced term.
creative-work-status	"DefinedTerm, Text"	CreativeWork	creative_work_status	creativeWorkStatus	pending:							"The status of a creative work in terms of its stage in a lifecycle. Example terms include Incomplete, Draft, Published, Obsolete. Some organizations define a set of terms for the stages of their publication lifecycle."
educational-use	"DefinedTerm, Text"	"CreativeWork, LearningResource"	educational_use	educationalUse								"The purpose of a work in the context of education; for example, 'assignment', 'group work'."
financial-aid-eligible	"DefinedTerm, Text"	EducationalOccupationalProgram	financial_aid_eligible	financialAidEligible	pending:							A financial aid type or program which students may use to pay for tuition or fees associated with the program.
industry	"DefinedTerm, Text"	JobPosting	industry	industry								The industry associated with the job position.
job-title	"DefinedTerm, Text"	Person	job_title	jobTitle	pending:							"The job title of the person (for example, Financial Manager)."
learning-resource-type	"DefinedTerm, Text"	"CreativeWork, LearningResource"	learning_resource_type	learningResourceType								"The predominant type or kind characterizing the learning resource. For example, 'presentation', 'handout'."
pattern	"DefinedTerm, Text"	"CreativeWork, Product"	pattern	pattern	pending:							"A pattern that something has, for example 'polka dot', 'striped', 'Canadian flag'. Values are typically expressed as text, although links to controlled value schemes are also supported."
program-type	"DefinedTerm, Text"	EducationalOccupationalProgram	program_type	programType	pending:							"The type of educational or occupational program. For example, classroom, internship, alternance, etc."
skills	"DefinedTerm, Text"	"JobPosting, Occupation"	skills	skills								"A statement of knowledge, skill, ability, task or any other assertion expressing a competency that is desired or required to fulfill this role or to work in this occupation."
teaches	"DefinedTerm, Text"	"CreativeWork, EducationEvent, LearningResource"	teaches	teaches	pending:							The item being described is intended to help a person learn the competency or learning outcome defined by the referenced term.
varies-by	"DefinedTerm, Text"	ProductGroup	varies_by	variesBy	pending:							"Indicates the property or properties by which the variants in a <a class=""localLink"" href=""/ProductGroup"">ProductGroup</a> vary, e.g. their size, color etc. Schema.org properties can be referenced by their short name e.g. ""color""; terms defined elsewhere can be referenced with their URIs."
competency-required	"DefinedTerm, Text, URL"	"EducationalOccupationalCredential, LearningResource"	competency_required	competencyRequired	pending:							"Knowledge, skill, ability or personal attribute that must be demonstrated by a person or other entity in order to do something such as earn an Educational Occupational Credential or understand a LearningResource."
credential-category	"DefinedTerm, Text, URL"	EducationalOccupationalCredential	credential_category	credentialCategory	pending:							"The category or type of credential being described, for example ""degree�, �certificate�, �badge�, or more specific term."
educational-level	"DefinedTerm, Text, URL"	"CreativeWork, EducationEvent, EducationalOccupationalCredential, LearningResource"	educational_level	educationalLevel	pending:							"The level in terms of progression through an educational or training context. Examples of educational levels include 'beginner', 'intermediate' or 'advanced', and formal sets of level indicators."
keywords	"DefinedTerm, Text, URL"	"CreativeWork, Event, Organization, Place, Product"	keywords	keywords								"Keywords or tags used to describe some item. Multiple textual entries in a keywords list are typically delimited by commas, or by repeating the property."
physical-requirement	"DefinedTerm, Text, URL"	JobPosting	physical_requirement	physicalRequirement	pending:							"A description of the types of physical activity associated with the job. Defined terms such as those in O*net may be used, but note that there is no way to specify the level of ability as well as its nature when using a defined term."
sensory-requirement	"DefinedTerm, Text, URL"	JobPosting	sensory_requirement	sensoryRequirement	pending:							"A description of any sensory requirements and levels necessary to function on the job, including hearing and vision. Defined terms such as those in O*net may be used, but note that there is no way to specify the level of ability as well as its nature when using a defined term."
in-defined-term-set	"DefinedTermSet, URL"	DefinedTerm	in_defined_term_set	inDefinedTermSet	pending:	isPartOf		inCodeSet				"A <a class=""localLink"" href=""/DefinedTermSet"">DefinedTermSet</a> that contains this term."
free-shipping-threshold	"DeliveryChargeSpecification, MonetaryAmount"	ShippingRateSettings	free_shipping_threshold	freeShippingThreshold	pending:							"A monetary value above (or at) which the shipping rate becomes free. Intended to be used via an <a class=""localLink"" href=""/OfferShippingDetails"">OfferShippingDetails</a> with <a class=""localLink"" href=""/shippingSettingsLink"">shippingSettingsLink</a> matching this <a class=""localLink"" href=""/ShippingRateSettings"">ShippingRateSettings</a>."
delivery-status	DeliveryEvent	ParcelDelivery	delivery_status	deliveryStatus								New entry added as the package passes through each leg of its journey (from shipment to final delivery).
applies-to-delivery-method	DeliveryMethod	"DeliveryChargeSpecification, PaymentChargeSpecification"	applies_to_delivery_method	appliesToDeliveryMethod								The delivery method(s) to which the delivery charge or payment charge specification applies.
available-delivery-method	DeliveryMethod	"Demand, Offer"	available_delivery_method	availableDeliveryMethod								The delivery method(s) available for this offer.
delivery-method	DeliveryMethod	"OrderAction, ReceiveAction, SendAction, TrackAction"	delivery_method	deliveryMethod		instrument						A sub property of instrument. The method of delivery.
has-delivery-method	DeliveryMethod	"DeliveryEvent, ParcelDelivery"	has_delivery_method	hasDeliveryMethod								Method used for delivery or shipping.
seeks	Demand	"Organization, Person"	seeks	seeks								A pointer to products or services sought by the organization or person (demand).
offers	"Demand, Offer"	"AggregateOffer, CreativeWork, EducationalOccupationalProgram, Event, MenuItem, Product, Service, Trip"	offers	offers					itemOffered			"An offer to provide this item&#x2014;for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event. Use <a class=""localLink"" href=""/businessFunction"">businessFunction</a> to indicate the kind of transaction offered, i.e. sell, lease, etc. This property can also be used to describe a <a class=""localLink"" href=""/Demand"">Demand</a>. While this property is listed as expected on a number of common types, it can be used in others. In that case, using a second type, such as Product or a subtype of Product, can clarify the nature of the offer."
diet	Diet	ExerciseAction	diet	diet		instrument						A sub property of instrument. The diet used in this action.
exercise-related-diet	Diet	ExerciseAction	exercise_related_diet	exerciseRelatedDiet		instrument						A sub property of instrument. The diet used in this action.
has-digital-document-permission	DigitalDocumentPermission	DigitalDocument	has_digital_document_permission	hasDigitalDocumentPermission								"A permission related to the access to this document (e.g. permission to read or write an electronic document). For a public document, specify a grantee with an Audience with audienceType equal to ""public""."
permission-type	DigitalDocumentPermissionType	DigitalDocumentPermission	permission_type	permissionType								"The type of permission granted the person, organization, or audience."
action-platform	"DigitalPlatformEnumeration, Text, URL"	EntryPoint	action_platform	actionPlatform								"The high level platform(s) where the Action can be performed for the given URL. To specify a specific application or operating system instance, use actionApplication."
drive-wheel-configuration	"DriveWheelConfigurationValue, Text"	Vehicle	drive_wheel_configuration	driveWheelConfiguration								"The drive wheel configuration, i.e. which roadwheels will receive torque from the vehicle's engine via the drivetrain."
affected-by	Drug	MedicalTest	affected_by	affectedBy								Drugs that affect the test's results.
drug	Drug	"DrugClass, MedicalCondition, Patient, TherapeuticProcedure"	drug	drug								Specifying a drug or medicine used in a medication procedure.
interacting-drug	Drug	Drug	interacting_drug	interactingDrug								Another drug that is known to interact with this drug in a way that impacts the effect of this drug or causes a risk to the patient. Note: disease interactions are typically captured as contraindications.
related-drug	Drug	Drug	related_drug	relatedDrug								"Any other drug related to this one, for example commonly-prescribed alternatives."
drug-class	DrugClass	Drug	drug_class	drugClass								"The class of drug this belongs to (e.g., statins)."
cost-category	DrugCostCategory	DrugCost	cost_category	costCategory								"The category of cost, such as wholesale, retail, reimbursement cap, etc."
legal-status	"DrugLegalStatus, MedicalEnumeration, Text"	"DietarySupplement, Drug, MedicalEntity"	legal_status	legalStatus								"The drug or supplement's legal status, including any controlled substance schedules that apply."
pregnancy-category	DrugPregnancyCategory	Drug	pregnancy_category	pregnancyCategory								Pregnancy category of this drug.
prescription-status	"DrugPrescriptionStatus, Text"	Drug	prescription_status	prescriptionStatus								"Indicates the status of drug prescription, e.g. local catalogs classifications or whether the drug is available by prescription or over-the-counter, etc."
available-strength	DrugStrength	Drug	available_strength	availableStrength								An available dosage strength for the drug.
has-credential	EducationalOccupationalCredential	"Organization, Person"	has_credential	hasCredential	pending:							A credential awarded to the Person or Organization.
education-requirements	"EducationalOccupationalCredential, Text"	"JobPosting, Occupation"	education_requirements	educationRequirements	pending:							Educational background needed for the position or Occupation.
qualifications	"EducationalOccupationalCredential, Text"	"JobPosting, Occupation"	qualifications	qualifications	pending:							Specific qualifications required for this role or Occupation.
educational-credential-awarded	"EducationalOccupationalCredential, Text, URL"	"Course, EducationalOccupationalProgram"	educational_credential_awarded	educationalCredentialAwarded								"A description of the qualification, award, certificate, diploma or other educational credential awarded as a consequence of successful completion of this course or program."
occupational-credential-awarded	"EducationalOccupationalCredential, Text, URL"	"Course, EducationalOccupationalProgram"	occupational_credential_awarded	occupationalCredentialAwarded	pending:							"A description of the qualification, award, certificate, diploma or other occupational credential awarded as a consequence of successful completion of this course or program."
alumni-of	"EducationalOrganization, Organization"	Person	alumni_of	alumniOf					alumni			An organization that the person is an alumni of.
calories	Energy	NutritionInformation	calories	calories								The number of calories.
workload	"Energy, QuantitativeValue"	ExercisePlan	workload	workload								Quantitative measure of the physiologic output of the exercise; also referred to as energy expenditure.
has-energy-consumption-details	EnergyConsumptionDetails	Product	has_energy_consumption_details	hasEnergyConsumptionDetails	pending:							"Defines the energy efficiency Category (also known as ""class"" or ""rating"") for a product according to an international energy efficiency standard."
has-energy-efficiency-category	EnergyEfficiencyEnumeration	EnergyConsumptionDetails	has_energy_efficiency_category	hasEnergyEfficiencyCategory	pending:							Defines the energy efficiency Category (which could be either a rating out of range of values or a yes/no certification) for a product according to an international energy efficiency standard.
vehicle-engine	EngineSpecification	Vehicle	vehicle_engine	vehicleEngine								Information about the engine or engines of the vehicle.
entertainment-business	EntertainmentBusiness	PerformAction	entertainment_business	entertainmentBusiness		location						A sub property of location. The entertainment business where the action occurred.
target	"EntryPoint, URL"	Action	target	target								"Indicates a target EntryPoint, or url, for an Action."
episode	Episode	"CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries"	episode	episode		hasPart				episodes		"An episode of a TV, radio or game media within a series or season."
episodes	Episode	"CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries"	episodes	episodes							episode	An episode of a TV/radio series or season.
part-of-episode	Episode	Clip	part_of_episode	partOfEpisode		isPartOf						The episode to which this clip belongs.
energy-efficiency-scale-max	EUEnergyEfficiencyEnumeration	EnergyConsumptionDetails	energy_efficiency_scale_max	energyEfficiencyScaleMax	pending:							"Specifies the most energy efficient class on the regulated EU energy consumption scale for the product category a product belongs to. For example, energy consumption for televisions placed on the market after January 1, 2020 is scaled from D to A+++."
energy-efficiency-scale-min	EUEnergyEfficiencyEnumeration	EnergyConsumptionDetails	energy_efficiency_scale_min	energyEfficiencyScaleMin	pending:							"Specifies the least energy efficient class on the regulated EU energy consumption scale for the product category a product belongs to. For example, energy consumption for televisions placed on the market after January 1, 2020 is scaled from D to A+++."
broadcast-of-event	Event	BroadcastEvent	broadcast_of_event	broadcastOfEvent								The event being broadcast such as a sporting event or awards ceremony.
event	Event	"InformAction, InviteAction, JoinAction, LeaveAction, Organization, Place, PlayAction"	event	event						events		"Upcoming or past event associated with this place, organization, or action."
events	Event	"Organization, Place"	events	events							event	Upcoming or past events associated with this place or organization.
first-performance	Event	MusicComposition	first_performance	firstPerformance								The date and place the work was first performed.
performer-in	Event	Person	performer_in	performerIn								Event that this person is a performer or participant in.
recorded-at	Event	CreativeWork	recorded_at	recordedAt					recordedIn			The Event where the CreativeWork was recorded. The CreativeWork may capture all or part of the event.
sub-event	Event	Event	sub_event	subEvent					superEvent	subEvents		"An Event that is part of this event. For example, a conference event includes many presentations, each of which is a subEvent of the conference."
sub-events	Event	Event	sub_events	subEvents							subEvent	"Events that are a part of this event. For example, a conference event includes many presentations, each subEvents of the conference."
super-event	Event	Event	super_event	superEvent					subEvent			"An event that this event is a part of. For example, a collection of individual music performances might each have a music festival as their superEvent."
event-attendance-mode	EventAttendanceModeEnumeration	Event	event_attendance_mode	eventAttendanceMode	pending:							"The eventAttendanceMode of an event indicates whether it occurs online, offline, or a mix."
event-status	EventStatusType	Event	event_status	eventStatus								An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled.
status	"EventStatusType, MedicalStudyStatus, Text"	"MedicalCondition, MedicalProcedure, MedicalStudy"	status	status								The status of the study (enumerated).
exercise-plan	ExercisePlan	ExerciseAction	exercise_plan	exercisePlan		instrument						A sub property of instrument. The exercise plan used on this action.
accommodation-floor-plan	FloorPlan	"Accommodation, Residence"	accommodation_floor_plan	accommodationFloorPlan	pending:							"A floorplan of some <a class=""localLink"" href=""/Accommodation"">Accommodation</a>."
food-establishment	"FoodEstablishment, Place"	CookAction	food_establishment	foodEstablishment		location						A sub property of location. The specific food establishment where the action occurred.
food-event	FoodEvent	CookAction	food_event	foodEvent		location						A sub property of location. The specific food event where the action occurred.
game-availability-type	"GameAvailabilityEnumeration, Text"	PlayGameAction	game_availability_type	gameAvailabilityType	pending:							"Indicates the availability type of the game content associated with this action, such as whether it is a full version or a demo."
play-mode	GamePlayMode	"VideoGame, VideoGameSeries"	play_mode	playMode								"Indicates whether this game is multi-player, co-op or single-player.  The game can be marked as multi-player, co-op and single-player at the same time."
game-server	GameServer	VideoGame	game_server	gameServer					game			The server on which  it is possible to play the game.
server-status	GameServerStatus	GameServer	server_status	serverStatus								Status of a game server.
gender	"GenderType, Text"	"Person, SportsTeam"	gender	gender	pending:							"Gender of something, typically a <a class=""localLink"" href=""/Person"">Person</a>, but possibly also fictional characters, animals, etc. While Male and Female may be used, text strings are also acceptable for people who do not identify as a binary gender. The <a class=""localLink"" href=""/gender"">gender</a> property can also be used in an extended sense to cover e.g. the gender of sports teams. As with the gender of individuals, we do not try to enumerate all possibilities. A mixed-gender <a class=""localLink"" href=""/SportsTeam"">SportsTeam</a> can be indicated with a text value of ""Mixed""."
suggested-gender	"GenderType, Text"	"PeopleAudience, SizeSpecification"	suggested_gender	suggestedGender								"The suggested gender of the intended person or audience, for example ""male"", ""female"", or ""unisex""."
alternative-of	Gene	Gene	alternative_of	alternativeOf	pending:							Another gene which is a variation of this one.
is-encoded-by-bio-chem-entity	Gene	BioChemEntity	is_encoded_by_bio_chem_entity	isEncodedByBioChemEntity	pending:				encodesBioChemEntity			Another BioChemEntity encoding by this one.
service-type	"GovernmentBenefitsType, Text"	Service	service_type	serviceType								"The type of service being offered, e.g. veterans' benefits, emergency relief, etc."
government-benefits-info	GovernmentService	SpecialAnnouncement	government_benefits_info	governmentBenefitsInfo	pending:							governmentBenefitsInfo provides information about government benefits associated with a SpecialAnnouncement.
funding	Grant	"BioChemEntity, CreativeWork, Event, MedicalEntity, Organization, Person, Product"	funding	funding	pending:				fundedItem			"A <a class=""localLink"" href=""/Grant"">Grant</a> that directly or indirectly provide funding or sponsorship for this item. See also <a class=""localLink"" href=""/ownershipFundingInfo"">ownershipFundingInfo</a>."
has-health-aspect	HealthAspectEnumeration	HealthTopicContent	has_health_aspect	hasHealthAspect	pending:							"Indicates the aspect or aspects specifically addressed in some <a class=""localLink"" href=""/HealthTopicContent"">HealthTopicContent</a>. For example, that the content is an overview, or that it talks about treatment, self-care, treatments or their side-effects."
included-in-health-insurance-plan	HealthInsurancePlan	Drug	included_in_health_insurance_plan	includedInHealthInsurancePlan	pending:							The insurance plans that cover this drug.
includes-health-plan-formulary	HealthPlanFormulary	HealthInsurancePlan	includes_health_plan_formulary	includesHealthPlanFormulary	pending:							Formularies covered by this plan.
includes-health-plan-network	HealthPlanNetwork	HealthInsurancePlan	includes_health_plan_network	includesHealthPlanNetwork	pending:							Networks covered by this plan.
hospital-affiliation	Hospital	Physician	hospital_affiliation	hospitalAffiliation								A hospital with which the physician or office is affiliated.
supply	"HowToSupply, Text"	"HowTo, HowToDirection"	supply	supply		instrument		"ingredients, recipeIngredient"				A sub-property of instrument. A supply consumed when performing instructions or a direction.
tool	"HowToTool, Text"	"HowTo, HowToDirection"	tool	tool		instrument						A sub property of instrument. An object used (but not consumed) when performing instructions or a direction.
toc-continuation	HyperTocEntry	HyperTocEntry	toc_continuation	tocContinuation	pending:							"A <a class=""localLink"" href=""/HyperTocEntry"">HyperTocEntry</a> can have a <a class=""localLink"" href=""/tocContinuation"">tocContinuation</a> indicated, which is another <a class=""localLink"" href=""/HyperTocEntry"">HyperTocEntry</a> that would be the default next item to play or render."
toc-entry	HyperTocEntry	HyperToc	toc_entry	tocEntry	pending:	hasPart						"Indicates a <a class=""localLink"" href=""/HyperTocEntry"">HyperTocEntry</a> in a <a class=""localLink"" href=""/HyperToc"">HyperToc</a>."
end-offset	"HyperTocEntry, Number"	Clip	end_offset	endOffset	pending:							The end time of the clip expressed as the number of seconds from the beginning of the work.
start-offset	"HyperTocEntry, Number"	"Clip, SeekToAction"	start_offset	startOffset	pending:							The start time of the clip expressed as the number of seconds from the beginning of the work.
diagram	ImageObject	AnatomicalStructure	diagram	diagram								An image containing a diagram that illustrates the structure and/or its component substructures and/or connections with other structures.
primary-image-of-page	ImageObject	WebPage	primary_image_of_page	primaryImageOfPage								Indicates the main image on the page.
thumbnail	ImageObject	"ImageObject, VideoObject"	thumbnail	thumbnail								Thumbnail image for an image or video.
photo	"ImageObject, Photograph"	Place	photo	photo		image				photos		A photograph of this place.
photos	"ImageObject, Photograph"	Place	photos	photos							photo	Photographs of this place.
image	"ImageObject, URL"	Thing	image	image				"layoutImage, logo, photo"				"An image of the item. This can be a <a class=""localLink"" href=""/URL"">URL</a> or a fully described <a class=""localLink"" href=""/ImageObject"">ImageObject</a>."
layout-image	"ImageObject, URL"	FloorPlan	layout_image	layoutImage	pending:	image						A schematic image showing the floorplan layout.
logo	"ImageObject, URL"	"Brand, Organization, Place, Product, Service"	logo	logo		image						An associated logo.
screenshot	"ImageObject, URL"	SoftwareApplication	screenshot	screenshot								A link to a screenshot image of the app.
infectious-agent-class	InfectiousAgentClass	InfectiousDisease	infectious_agent_class	infectiousAgentClass								"The class of infectious agent (bacteria, prion, etc.) that causes the disease."
interaction-statistic	InteractionCounter	"CreativeWork, Organization, Person"	interaction_statistic	interactionStatistic						interactionCount		The number of interactions for the CreativeWork using the WebSite or SoftwareApplication. The most specific child type of InteractionCounter should be used.
part-of-invoice	Invoice	Order	part_of_invoice	partOfInvoice								The order is being paid as part of the referenced Invoice.
