domainIncludes	label_snail	rangeIncludes	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
BusTrip	departure_bus_stop	BusStation, BusStop	departure-bus-stop	departureBusStop								The stop or station from which the bus departs.
TrainTrip	departure_station	TrainStation	departure-station	departureStation								The station from which the train departs.
DDxElement, Patient	diagnosis	MedicalCondition	diagnosis	diagnosis								One or more alternative conditions considered in the differential diagnosis process as output of a diagnosis process.
AnatomicalStructure	diagram	ImageObject	diagram	diagram								An image containing a diagram that illustrates the structure and/or its component substructures and/or connections with other structures.
ExerciseAction	diet	Diet	diet	diet		instrument						A sub property of instrument. The diet used in this action.
MedicalCondition	differential_diagnosis	DDxElement	differential-diagnosis	differentialDiagnosis								One of a set of differential diagnoses for the condition. Specifically, a closely-related or competing diagnosis typically considered later in the cognitive process whereby this medical condition is distinguished from others most likely responsible for a similar collection of signs and symptoms to reach the most parsimonious diagnosis or diagnoses in a patient.
DigitalDocument	digital_document_permission	DigitalDocumentPermission	has-digital-document-permission	hasDigitalDocumentPermission								A permission related to the access to this document (e.g. permission to read or write an electronic document). For a public document, specify a grantee with an Audience with audienceType equal to "public".
Clip, CreativeWorkSeason, Episode, Event, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	director	Person	director	director						directors		A director of e.g. TV, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
Clip, Episode, Movie, MovieSeries, RadioSeries, TVSeries, VideoGame, VideoGameSeries, VideoObject	directors	Person	directors	directors							director	A director of e.g. TV, radio, movie, video games etc. content. Directors can be associated with individual items or with a series, episode, clip.
UserComments	discusses	CreativeWork	discusses	discusses								Specifies the CreativeWork associated with the UserComment.
SpecialAnnouncement	disease_spread_statistics	Dataset, Observation, URL, WebContent	disease-spread-statistics	diseaseSpreadStatistics	pending:							"Statistical information about the spread of a disease, either as <a class=""localLink"" href=""/WebContent"">WebContent</a>, or
  described directly as a <a class=""localLink"" href=""/Dataset"">Dataset</a>, or the specific <a class=""localLink"" href=""/Observation"">Observation</a>s in the dataset. When a <a class=""localLink"" href=""/WebContent"">WebContent</a> URL is
  provided, the page indicated might also contain more such markup."
DDxElement	distinguishing_sign	MedicalSignOrSymptom	distinguishing-sign	distinguishingSign								One of a set of signs and symptoms that can be used to distinguish this diagnosis from others in the differential diagnosis.
Dataset	distribution	DataDownload	distribution	distribution								A downloadable form of this dataset, at a specific location, in a specific format. This property can be repeated if different variations are available. There is no expectation that different downloadable distributions must contain exactly equivalent information (see also <a href="https://www.w3.org/TR/vocab-dcat-3/#Class:Distribution">DCAT</a> on this point). Different distributions might include or exclude different subsets of the entire dataset, for example.
NewsMediaOrganization, Organization	diversity_policy	CreativeWork, URL	diversity-policy	diversityPolicy	pending:							Statement on diversity policy by an <a class="localLink" href="/Organization">Organization</a> e.g. a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a>. For a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a>, a statement describing the newsroom�s diversity policy on both staffing and sources, typically providing staffing data.
NewsMediaOrganization, Organization	diversity_staffing_report	Article, URL	diversity-staffing-report	diversityStaffingReport	pending:	publishingPrinciples						For an <a class="localLink" href="/Organization">Organization</a> (often but not necessarily a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a>), a report on staffing diversity issues. In a news context this might be for example ASNE or RTDNA (US) reports, or self-reported.
WebAPI	documentation	CreativeWork, URL	documentation	documentation	pending:							Further documentation describing the Web API in more detail.
Property	domain_includes	Class	domain-includes	domainIncludes	https://meta.schema.org							Relates a property to a class that is (one of) the type(s) the property is expected to be used on.
Vein	drains_to	Vessel	drains-to	drainsTo								The vasculature that the vein drains into.
Vehicle	drive_wheel_configuration	DriveWheelConfigurationValue, Text	drive-wheel-configuration	driveWheelConfiguration								The drive wheel configuration, i.e. which roadwheels will receive torque from the vehicle's engine via the drivetrain.
DrugClass, MedicalCondition, Patient, TherapeuticProcedure	drug	Drug	drug	drug								Specifying a drug or medicine used in a medication procedure.
Drug	drug_class	DrugClass	drug-class	drugClass								The class of drug this belongs to (e.g., statins).
MedicalTherapy	duplicate_therapy	MedicalTherapy	duplicate-therapy	duplicateTherapy								A therapy that duplicates or overlaps this one.
HowToDirection	during_media	MediaObject, URL	during-media	duringMedia								A media object representing the circumstances while performing this direction.
CreativeWork	editor	Person	editor	editor								Specifies the Person who edited the CreativeWork.
JobPosting, Occupation	education_requirements	EducationalOccupationalCredential, Text	education-requirements	educationRequirements	pending:							Educational background needed for the position or Occupation.
CreativeWork, LearningResource	educational_alignment	AlignmentObject	educational-alignment	educationalAlignment								"An alignment to an established educational framework.<br/><br/>

This property should not be used where the nature of the alignment can be described using a simple property, for example to express that a resource <a class=""localLink"" href=""/teaches"">teaches</a> or <a class=""localLink"" href=""/assesses"">assesses</a> a competency."
Course, EducationalOccupationalProgram	educational_credential_awarded	EducationalOccupationalCredential, Text, URL	educational-credential-awarded	educationalCredentialAwarded								A description of the qualification, award, certificate, diploma or other educational credential awarded as a consequence of successful completion of this course or program.
CreativeWork, EducationEvent, EducationalOccupationalCredential, LearningResource	educational_level	DefinedTerm, Text, URL	educational-level	educationalLevel	pending:							The level in terms of progression through an educational or training context. Examples of educational levels include 'beginner', 'intermediate' or 'advanced', and formal sets of level indicators.
CreativeWork, LearningResource	educational_use	DefinedTerm, Text	educational-use	educationalUse								The purpose of a work in the context of education; for example, 'assignment', 'group work'.
Demand, Offer	eligible_customer_type	BusinessEntityType	eligible-customer-type	eligibleCustomerType								The type(s) of customers for which the given offer is valid.
Demand, Offer, PriceSpecification	eligible_transaction_volume	PriceSpecification	eligible-transaction-volume	eligibleTransactionVolume								The transaction volume, in a monetary unit, for which the offer or price specification is valid, e.g. for indicating a minimal purchasing volume, to express free shipping above a certain order volume, or to limit the acceptance of credit cards to purchases to a certain minimal amount.
Organization	employee	Person	employee	employee						employees		Someone working for this organization.
Organization	employees	Person	employees	employees							employee	People working for this organization.
JobPosting	employment_unit	Organization	employment-unit	employmentUnit	pending:							Indicates the department, unit and/or facility where the employee reports and/or in which the job is to be performed.
CreativeWork	encoding	MediaObject	encoding	encoding					encodesCreativeWork	encodings		A media object that encodes this CreativeWork. This property is a synonym for associatedMedia.
CreativeWork	encodings	MediaObject	encodings	encodings							encoding	A media object that encodes this CreativeWork.
Clip	end_offset	HyperTocEntry, Number	end-offset	endOffset	pending:							The end time of the clip expressed as the number of seconds from the beginning of the work.
EndorseAction	endorsee	Organization, Person	endorsee	endorsee		participant						A sub property of participant. The person/organization being supported.
Diet	endorsers	Organization, Person	endorsers	endorsers								People or organizations that endorse the plan.
Product	energy_consumption_details	EnergyConsumptionDetails	has-energy-consumption-details	hasEnergyConsumptionDetails	pending:							Defines the energy efficiency Category (also known as "class" or "rating") for a product according to an international energy efficiency standard.
EnergyConsumptionDetails	energy_efficiency_category	EnergyEfficiencyEnumeration	has-energy-efficiency-category	hasEnergyEfficiencyCategory	pending:							Defines the energy efficiency Category (which could be either a rating out of range of values or a yes/no certification) for a product according to an international energy efficiency standard.
EnergyConsumptionDetails	energy_efficiency_scale_max	EUEnergyEfficiencyEnumeration	energy-efficiency-scale-max	energyEfficiencyScaleMax	pending:							Specifies the most energy efficient class on the regulated EU energy consumption scale for the product category a product belongs to. For example, energy consumption for televisions placed on the market after January 1, 2020 is scaled from D to A+++.
EnergyConsumptionDetails	energy_efficiency_scale_min	EUEnergyEfficiencyEnumeration	energy-efficiency-scale-min	energyEfficiencyScaleMin	pending:							Specifies the least energy efficient class on the regulated EU energy consumption scale for the product category a product belongs to. For example, energy consumption for televisions placed on the market after January 1, 2020 is scaled from D to A+++.
EngineSpecification	engine_type	QualitativeValue, Text, URL	engine-type	engineType	https://auto.schema.org							The type of engine or engines powering the vehicle.
PerformAction	entertainment_business	EntertainmentBusiness	entertainment-business	entertainmentBusiness		location						A sub property of location. The entertainment business where the action occurred.
CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries	episode	Episode	episode	episode		hasPart				episodes		An episode of a TV, radio or game media within a series or season.
CreativeWorkSeason, RadioSeries, TVSeries, VideoGameSeries	episodes	Episode	episodes	episodes							episode	An episode of a TV/radio series or season.
QualitativeValue	equal	QualitativeValue	equal	equal								This ordering relation for qualitative values indicates that the subject is equal to the object.
Action	error	Thing	error	error								For failed actions, more information on the cause of the failure.
NewsMediaOrganization, Organization	ethics_policy	CreativeWork, URL	ethics-policy	ethicsPolicy	pending:							Statement about ethics policy, e.g. of a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a> regarding journalistic and publishing practices, or of a <a class="localLink" href="/Restaurant">Restaurant</a>, a page describing food source policies. In the case of a <a class="localLink" href="/NewsMediaOrganization">NewsMediaOrganization</a>, an ethicsPolicy is typically a statement describing the personal, organizational, and corporate standards of behavior expected by the organization.
InformAction, InviteAction, JoinAction, LeaveAction, Organization, Place, PlayAction	event	Event	event	event						events		Upcoming or past event associated with this place, organization, or action.
Event	event_attendance_mode	EventAttendanceModeEnumeration	event-attendance-mode	eventAttendanceMode	pending:							The eventAttendanceMode of an event indicates whether it occurs online, offline, or a mix.
Event	event_schedule	Schedule	event-schedule	eventSchedule	pending:							"Associates an <a class=""localLink"" href=""/Event"">Event</a> with a <a class=""localLink"" href=""/Schedule"">Schedule</a>. There are circumstances where it is preferable to share a schedule for a series of
      repeating events rather than data on the individual events themselves. For example, a website or application might prefer to publish a schedule for a weekly
      gym class rather than provide data on every event. A schedule could be processed by applications to add forthcoming events to a calendar. An <a class=""localLink"" href=""/Event"">Event</a> that
      is associated with a <a class=""localLink"" href=""/Schedule"">Schedule</a> using this property should not have <a class=""localLink"" href=""/startDate"">startDate</a> or <a class=""localLink"" href=""/endDate"">endDate</a> properties. These are instead defined within the associated
      <a class=""localLink"" href=""/Schedule"">Schedule</a>, this avoids any ambiguity for clients using the data. The property might have repeated values to specify different schedules, e.g. for different months
      or seasons."
Event	event_status	EventStatusType	event-status	eventStatus								An eventStatus of an event represents its status; particularly useful when an event is cancelled or rescheduled.
Organization, Place	events	Event	events	events							event	Upcoming or past events associated with this place or organization.
MedicalGuideline	evidence_level	MedicalEvidenceLevel	evidence-level	evidenceLevel								Strength of evidence of the data used to formulate the guideline (enumerated).
CreativeWork	example_of_work	CreativeWork	example-of-work	exampleOfWork					workExample			A creative work that this work is an example/instance/realization/derivation of.
ExerciseAction	exercise_plan	ExercisePlan	exercise-plan	exercisePlan		instrument						A sub property of instrument. The exercise plan used on this action.
ExerciseAction	exercise_related_diet	Diet	exercise-related-diet	exerciseRelatedDiet		instrument						A sub property of instrument. The diet used in this action.
ImageObject	exif_data	PropertyValue, Text	exif-data	exifData								exif data for this object.
ActionAccessSpecification, ConsumeAction, MediaSubscription	expects_acceptance_of	Offer	expects-acceptance-of	expectsAcceptanceOf								An Offer which must be accepted before the user can perform the Action. For example, the user may need to buy a movie before being able to watch it.
JobPosting, Occupation	experience_requirements	OccupationalExperienceRequirements, Text	experience-requirements	experienceRequirements								Description of skills and experience needed for the position or Occupation.
Gene	expressed_in	AnatomicalStructure, AnatomicalSystem, BioChemEntity, DefinedTerm	expressed-in	expressedIn	pending:							Tissue, organ, biological sample, etc in which activity of this gene has been observed experimentally. For example brain, digestive system.
EducationalOccupationalProgram	financial_aid_eligible	DefinedTerm, Text	financial-aid-eligible	financialAidEligible	pending:							A financial aid type or program which students may use to pay for tuition or fees associated with the program.
Claim	first_appearance	CreativeWork	first-appearance	firstAppearance	pending:	workExample						Indicates the first known occurrence of a <a class="localLink" href="/Claim">Claim</a> in some <a class="localLink" href="/CreativeWork">CreativeWork</a>.
MusicComposition	first_performance	Event	first-performance	firstPerformance								The date and place the work was first performed.
FollowAction	followee	Organization, Person	followee	followee		object						A sub property of object. The person or organization being followed.
Person	follows	Person	follows	follows								The most generic uni-directional social relation.
CookAction	food_establishment	FoodEstablishment, Place	food-establishment	foodEstablishment		location						A sub property of location. The specific food establishment where the action occurred.
CookAction	food_event	FoodEvent	food-event	foodEvent		location						A sub property of location. The specific food event where the action occurred.
Organization	founder	Person	founder	founder						founders		A person who founded this organization.
Organization	founders	Person	founders	founders							founder	A person who founded this organization.
ShippingRateSettings	free_shipping_threshold	DeliveryChargeSpecification, MonetaryAmount	free-shipping-threshold	freeShippingThreshold	pending:							A monetary value above (or at) which the shipping rate becomes free. Intended to be used via an <a class="localLink" href="/OfferShippingDetails">OfferShippingDetails</a> with <a class="localLink" href="/shippingSettingsLink">shippingSettingsLink</a> matching this <a class="localLink" href="/ShippingRateSettings">ShippingRateSettings</a>.
EngineSpecification, Vehicle	fuel_type	QualitativeValue, Text, URL	fuel-type	fuelType								The type of fuel suitable for the engine or engines of the vehicle. If the vehicle has only one engine, this property can be attached directly to the vehicle.
Joint	functional_class	MedicalEntity, Text	functional-class	functionalClass								The degree of mobility the joint allows.
Grant	funded_item	BioChemEntity, CreativeWork, Event, MedicalEntity, Organization, Person, Product	funded-item	fundedItem	pending:				funding			Indicates something directly or indirectly funded or sponsored through a <a class="localLink" href="/Grant">Grant</a>. See also <a class="localLink" href="/ownershipFundingInfo">ownershipFundingInfo</a>.
CreativeWork, Event, Grant, MonetaryGrant, Organization, Person	funder	Organization, Person	funder	funder		sponsor						A person or organization that supports (sponsors) something through some kind of financial contribution.
BioChemEntity, CreativeWork, Event, MedicalEntity, Organization, Person, Product	funding	Grant	funding	funding	pending:				fundedItem			A <a class="localLink" href="/Grant">Grant</a> that directly or indirectly provide funding or sponsorship for this item. See also <a class="localLink" href="/ownershipFundingInfo">ownershipFundingInfo</a>.
GameServer	game	VideoGame	game	game					gameServer			Video game which is played on this server.
PlayGameAction	game_availability_type	GameAvailabilityEnumeration, Text	game-availability-type	gameAvailabilityType	pending:							Indicates the availability type of the game content associated with this action, such as whether it is a full version or a demo.
Game, VideoGameSeries	game_item	Thing	game-item	gameItem								An item is an object within the game world that can be collected by a player or, occasionally, a non-player character.
VideoGame	game_server	GameServer	game-server	gameServer					game			The server on which  it is possible to play the game.
VideoGame	game_tip	CreativeWork	game-tip	gameTip								Links to tips, tactics, etc.
Person, SportsTeam	gender	GenderType, Text	gender	gender	pending:							Gender of something, typically a <a class="localLink" href="/Person">Person</a>, but possibly also fictional characters, animals, etc. While Male and Female may be used, text strings are also acceptable for people who do not identify as a binary gender. The <a class="localLink" href="/gender">gender</a> property can also be used in an extended sense to cover e.g. the gender of sports teams. As with the gender of individuals, we do not try to enumerate all possibilities. A mixed-gender <a class="localLink" href="/SportsTeam">SportsTeam</a> can be indicated with a text value of "Mixed".
Audience	geographic_area	AdministrativeArea	geographic-area	geographicArea								The geographic area associated with the audience.
SpecialAnnouncement	government_benefits_info	GovernmentService	government-benefits-info	governmentBenefitsInfo	pending:							governmentBenefitsInfo provides information about government benefits associated with a SpecialAnnouncement.
DigitalDocumentPermission	grantee	Audience, ContactPoint, Organization, Person	grantee	grantee								The person, organization, contact point, or audience that has been granted this permission.
QualitativeValue	greater	QualitativeValue	greater	greater								This ordering relation for qualitative values indicates that the subject is greater than the object.
QualitativeValue	greater_or_equal	QualitativeValue	greater-or-equal	greaterOrEqual								This ordering relation for qualitative values indicates that the subject is greater than or equal to the object.
MedicalEntity	guideline	MedicalGuideline	guideline	guideline								A medical guideline related to this entity.
MedicalGuideline	guideline_subject	MedicalEntity	guideline-subject	guidelineSubject								The medical conditions, treatments, etc. that are the subject of the guideline.
HealthTopicContent	health_aspect	HealthAspectEnumeration	has-health-aspect	hasHealthAspect	pending:							Indicates the aspect or aspects specifically addressed in some <a class="localLink" href="/HealthTopicContent">HealthTopicContent</a>. For example, that the content is an overview, or that it talks about treatment, self-care, treatments or their side-effects.
MedicalStudy, Patient, PeopleAudience	health_condition	MedicalCondition	health-condition	healthCondition								Specifying the health condition(s) of a patient, medical study, or other target audience.
HealthPlanCostSharingSpecification	health_plan_copay	PriceSpecification	health-plan-copay	healthPlanCopay	pending:							The copay amount.
Hospital	healthcare_reporting_data	CDCPMDRecord, Dataset	healthcare-reporting-data	healthcareReportingData	pending:							Indicates data describing a hospital, e.g. a CDC <a class="localLink" href="/CDCPMDRecord">CDCPMDRecord</a> or as some kind of <a class="localLink" href="/Dataset">Dataset</a>.
JobPosting	hiring_organization	Organization, Person	hiring-organization	hiringOrganization								Organization or Person offering the job position.
Person	home_location	ContactPoint, Place	home-location	homeLocation		location						A contact location for a person's residence.
SportsEvent	home_team	Person, SportsTeam	home-team	homeTeam		competitor						The home team in a sports event.
Physician	hospital_affiliation	Hospital	hospital-affiliation	hospitalAffiliation								A hospital with which the physician or office is affiliated.
ProgramMembership	hosting_organization	Organization	hosting-organization	hostingOrganization								The organization (airline, travelers' club, etc.) the membership is made with.
ContactPoint, LocationFeatureSpecification, Service	hours_available	OpeningHoursSpecification	hours-available	hoursAvailable								The hours during which this service or contact is available.
Thing	identifier	PropertyValue, Text, URL	identifier	identifier			dc:identifier	accountId, asin, callSign, confirmationNumber, duns, editEIDR, flightNumber, globalLocationNumber, gtin, gtin12, gtin13, gtin14, gtin8, isbn, issn, legislationIdentifier, leiCode, nsn, orderNumber, productID, serialNumber, sku, taxID, titleEIDR				The identifier property represents any kind of identifier for any kind of <a class="localLink" href="/Thing">Thing</a>, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See <a href="/docs/datamodel.html#identifierBg">background notes</a> for more details.
MedicalSign	identifying_exam	PhysicalExam	identifying-exam	identifyingExam								A physical examination that can identify this sign.
MedicalSign	identifying_test	MedicalTest	identifying-test	identifyingTest								A diagnostic test that can identify this sign.
Book	illustrator	Person	illustrator	illustrator								The illustrator of the book.
Thing	image	ImageObject, URL	image	image				layoutImage, logo, photo				An image of the item. This can be a <a class="localLink" href="/URL">URL</a> or a fully described <a class="localLink" href="/ImageObject">ImageObject</a>.
ImagingTest	imaging_technique	MedicalImagingTechnique	imaging-technique	imagingTechnique								Imaging technique used.
MusicRecording	in_album	MusicAlbum	in-album	inAlbum								The album to which this recording belongs.
BroadcastChannel	in_broadcast_lineup	CableOrSatelliteService	in-broadcast-lineup	inBroadcastLineup								The CableOrSatelliteService offering the channel.
CategoryCode	in_code_set	CategoryCodeSet, URL	in-code-set	inCodeSet	pending:	inDefinedTermSet						A <a class="localLink" href="/CategoryCodeSet">CategoryCodeSet</a> that contains this category code.
DefinedTerm	in_defined_term_set	DefinedTermSet, URL	in-defined-term-set	inDefinedTermSet	pending:	isPartOf		inCodeSet				A <a class="localLink" href="/DefinedTermSet">DefinedTermSet</a> that contains this term.
MusicRecording	in_playlist	MusicPlaylist	in-playlist	inPlaylist								The playlist to which this recording belongs.
MusicComposition	included_composition	MusicComposition	included-composition	includedComposition								Smaller compositions included in this work (e.g. a movement in a symphony).
Dataset	included_data_catalog	DataCatalog	included-data-catalog	includedDataCatalog							includedInDataCatalog	A data catalog which contains this dataset (this property was previously 'catalog', preferred name is now 'includedInDataCatalog').
Dataset	included_in_data_catalog	DataCatalog	included-in-data-catalog	includedInDataCatalog					dataset	catalog, includedDataCatalog		A data catalog which contains this dataset.
MedicalRiskEstimator	included_risk_factor	MedicalRiskFactor	included-risk-factor	includedRiskFactor								A modifiable or non-modifiable risk factor included in the calculation, e.g. age, coexisting condition.
JobPosting	industry	DefinedTerm, Text	industry	industry								The industry associated with the job position.
InfectiousDisease	infectious_agent_class	InfectiousAgentClass	infectious-agent-class	infectiousAgentClass								The class of infectious agent (bacteria, prion, etc.) that causes the disease.
ComicIssue, ComicStory, VisualArtwork	inker	Person	inker	inker	https://bib.schema.org							The individual who traces over the pencil drawings in ink after pencils are complete.
Muscle	insertion	AnatomicalStructure	insertion	insertion								The place of attachment of a muscle, or what the muscle moves.
CourseInstance	instructor	Person	instructor	instructor								A person assigned to instruct or provide instructional assistance for the <a class="localLink" href="/CourseInstance">CourseInstance</a>.
Action	instrument	Thing	instrument	instrument				deliveryMethod, diet, exercisePlan, exerciseRelatedDiet, language, query, recipe, supply, tool				The object that helped the agent perform the action. E.g. John wrote a book with <em>a pen</em>.
Drug	interacting_drug	Drug	interacting-drug	interactingDrug								Another drug that is known to interact with this drug in a way that impacts the effect of this drug or causes a risk to the patient. Note: disease interactions are typically captured as contraindications.
	interaction_count		interaction-count	interactionCount							interactionStatistic	This property is deprecated, alongside the UserInteraction types on which it depended.
InteractionCounter	interaction_service	SoftwareApplication, WebSite	interaction-service	interactionService								The WebSite or SoftwareApplication where the interactions took place.
CreativeWork, Organization, Person	interaction_statistic	InteractionCounter	interaction-statistic	interactionStatistic						interactionCount		The number of interactions for the CreativeWork using the WebSite or SoftwareApplication. The most specific child type of InteractionCounter should be used.
InteractionCounter	interaction_type	Action	interaction-type	interactionType								The Action representing the type of interaction. For up votes, +1s, etc. use <a class="localLink" href="/LikeAction">LikeAction</a>. For down votes use <a class="localLink" href="/DislikeAction">DislikeAction</a>. Otherwise, use the most specific Action.
CreativeWork, MediaObject	interpreted_as_claim	Claim	interpreted-as-claim	interpretedAsClaim	pending:	description						Used to indicate a specific claim contained, implied, translated or refined from the content of a <a class="localLink" href="/MediaObject">MediaObject</a> or other <a class="localLink" href="/CreativeWork">CreativeWork</a>. The interpreting party can be indicated using <a class="localLink" href="/claimInterpreter">claimInterpreter</a>.
Property	inverse_of	Property	inverse-of	inverseOf	https://meta.schema.org							Relates a property to a property that is its inverse. Inverse properties relate the same pairs of items to each other, but in reversed direction. For example, the 'alumni' and 'alumniOf' properties are inverseOf each other. Some properties don't have explicit inverses; in these situations RDFa and JSON-LD syntax for reverse properties can be used.
Permit, Ticket	issued_by	Organization	issued-by	issuedBy								The organization issuing the ticket or permit.
Permit	issued_through	Service	issued-through	issuedThrough								The service through which the permit was granted.
DataFeedItem, ListItem	item	Thing	item	item								An entity represented by an entry in a list or data feed (e.g. an 'artist' in a list of 'artists').
Demand, MerchantReturnPolicy, Offer, Product	item_condition	OfferItemCondition	item-condition	itemCondition								A predefined value from OfferItemCondition specifying the condition of the product or service, or the products or services included in the offer. Also used for product return policies to specify the condition of products accepted for returns.
MerchantReturnPolicy	item_defect_return_fees	ReturnFeesEnumeration	item-defect-return-fees	itemDefectReturnFees	pending:							The type of return fees for returns of defect products.
MerchantReturnPolicy	item_defect_return_label_source	ReturnLabelSourceEnumeration	item-defect-return-label-source	itemDefectReturnLabelSource	pending:							The method (from an enumeration) by which the customer obtains a return shipping label for a defect product.
ItemList	item_list_element	ListItem, Text, Thing	item-list-element	itemListElement								"For itemListElement values, you can use simple strings (e.g. ""Peter"", ""Paul"", ""Mary""), existing entities, or use ListItem.<br/><br/>

Text values are best if the elements in the list are plain strings. Existing entities are best for a simple, unordered list of existing things in your data. ListItem is used with ordered lists when you want to provide additional context about the element in that list or when the same item might be in different places in different lists.<br/><br/>

Note: The order of elements in your mark-up is not sufficient for indicating the order or elements.  Use ListItem with a 'position' property in such cases."
ItemList	item_list_order	ItemListOrderType, Text	item-list-order	itemListOrder								Type of ordering (e.g. Ascending, Descending, Unordered).
Demand, Offer	item_offered	AggregateOffer, CreativeWork, Event, MenuItem, Product, Service, Trip	item-offered	itemOffered					offers			An item being offered (or demanded). The transactional nature of the offer or demand is documented using <a class="localLink" href="/businessFunction">businessFunction</a>, e.g. sell, lease etc. While several common expected types are listed explicitly in this definition, others can be used. Using a second type, such as Product or a subtype of Product, can clarify the nature of the offer.
AggregateRating, Review	item_reviewed	Thing	item-reviewed	itemReviewed								The item that is being reviewed/rated.
ParcelDelivery	item_shipped	Product	item-shipped	itemShipped								Item(s) being shipped.
Trip	itinerary	ItemList, Place	itinerary	itinerary	pending:							Destination(s) ( <a class="localLink" href="/Place">Place</a> ) that make up a trip. For a trip where destination order is important use <a class="localLink" href="/ItemList">ItemList</a> to specify that order (see examples).
Person	job_title	DefinedTerm, Text	job-title	jobTitle	pending:							The job title of the person (for example, Financial Manager).
GovernmentService, Legislation	jurisdiction	AdministrativeArea, Text	jurisdiction	jurisdiction	pending:			legislationJurisdiction				Indicates a legal jurisdiction, e.g. of some legislation, or where some government service is based.
CreativeWork, Event, Organization, Place, Product	keywords	DefinedTerm, Text, URL	keywords	keywords								Keywords or tags used to describe some item. Multiple textual entries in a keywords list are typically delimited by commas, or by repeating the property.
Person	knows	Person	knows	knows								The most generic bi-directional social/work relation.
Organization, Person	knows_language	Language, Text	knows-language	knowsLanguage	pending:							Of a <a class="localLink" href="/Person">Person</a>, and less typically of an <a class="localLink" href="/Organization">Organization</a>, to indicate a known language. We do not distinguish skill levels or reading/writing/speaking/signing here. Use language codes from the <a href="http://tools.ietf.org/html/bcp47">IETF BCP 47 standard</a>.
RentAction	landlord	Organization, Person	landlord	landlord		participant						A sub property of participant. The owner of the real estate property.
CommunicateAction, WriteAction	language	Language	language	language		instrument					inLanguage	A sub property of instrument. The language used on this action.
FloorPlan	layout_image	ImageObject, URL	layout-image	layoutImage	pending:	image						A schematic image showing the floorplan layout.
CreativeWork, LearningResource	learning_resource_type	DefinedTerm, Text	learning-resource-type	learningResourceType								The predominant type or kind characterizing the learning resource. For example, 'presentation', 'handout'.
DietarySupplement, Drug, MedicalEntity	legal_status	DrugLegalStatus, MedicalEnumeration, Text	legal-status	legalStatus								The drug or supplement's legal status, including any controlled substance schedules that apply.
Legislation	legislation_applies	Legislation	legislation-applies	legislationApplies	pending:		http://data.europa.eu/eli/ontology#implements	legislationTransposes				Indicates that this legislation (or part of a legislation) somehow transfers another legislation in a different legislative context. This is an informative link, and it has no legal value. For legally-binding links of transposition, use the <a href="/legislationTransposes">legislationTransposes</a> property. For example an informative consolidated law of a European Union's member state "applies" the consolidated version of the European Directive implemented in it.
Legislation	legislation_changes	Legislation	legislation-changes	legislationChanges	pending:		http://data.europa.eu/eli/ontology#changes					Another legislation that this legislation changes. This encompasses the notions of amendment, replacement, correction, repeal, or other types of change. This may be a direct change (textual or non-textual amendment) or a consequential or indirect change. The property is to be used to express the existence of a change relationship between two acts rather than the existence of a consolidated version of the text that shows the result of the change. For consolidation relationships, use the <a href="/legislationConsolidates">legislationConsolidates</a> property.
Legislation	legislation_consolidates	Legislation	legislation-consolidates	legislationConsolidates	pending:		http://data.europa.eu/eli/ontology#consolidates					Indicates another legislation taken into account in this consolidated legislation (which is usually the product of an editorial process that revises the legislation). This property should be used multiple times to refer to both the original version or the previous consolidated version, and to the legislations making the change.
Legislation	legislation_jurisdiction	AdministrativeArea, Text	legislation-jurisdiction	legislationJurisdiction	pending:	jurisdiction, spatialCoverage	http://data.europa.eu/eli/ontology#jurisdiction					The jurisdiction from which the legislation originates.
Legislation	legislation_legal_force	LegalForceStatus	legislation-legal-force	legislationLegalForce	pending:		http://data.europa.eu/eli/ontology#in_force					Whether the legislation is currently in force, not in force, or partially in force.
LegislationObject	legislation_legal_value	LegalValueLevel	legislation-legal-value	legislationLegalValue	pending:		http://data.europa.eu/eli/ontology#legal_value					The legal value of this legislation file. The same legislation can be written in multiple files with different legal values. Typically a digitally signed PDF have a "stronger" legal value than the HTML file of the same act.
Legislation	legislation_passed_by	Organization, Person	legislation-passed-by	legislationPassedBy	pending:	creator	http://data.europa.eu/eli/ontology#passed_by					The person or organization that originally passed or made the law: typically parliament (for primary legislation) or government (for secondary legislation). This indicates the "legal author" of the law, as opposed to its physical author.
Legislation	legislation_responsible	Organization, Person	legislation-responsible	legislationResponsible	pending:		http://data.europa.eu/eli/ontology#responsibility_of					An individual or organization that has some kind of responsibility for the legislation. Typically the ministry who is/was in charge of elaborating the legislation, or the adressee for potential questions about the legislation once it is published.
